,NIG021_NS 100.0(Hz) unit:(gal)
0,-0.22395587685116158
1,-0.24636722328670846
2,-0.22729373695858346
3,-0.21131969215877877
4,-0.2137038779497944
5,-0.23539996864803658
6,-0.2442214560747944
7,-0.24112201454647408
8,-0.22037959816463815
9,-0.20130611183651315
10,-0.21465755226620065
11,-0.2270553183794819
12,-0.23373103859432565
13,-0.24589038612850533
14,-0.2480361533404194
15,-0.22157169106014596
16,-0.20082927467831002
17,-0.21394229652889596
18,-0.2327773642779194
19,-0.23253894569881783
20,-0.24493671181209908
21,-0.24398303749569283
22,-0.22967792274959908
23,-0.20488239052303658
24,-0.1996371817828022
25,-0.22467113258846627
26,-0.24326778175838815
27,-0.23897624733456002
28,-0.22157169106014596
29,-0.22991634132870065
30,-0.2377841544390522
31,-0.22967792274959908
32,-0.20488239052303658
33,-0.21632648231991158
34,-0.25351978065975533
35,-0.25661922218807565
36,-0.21990276100643502
37,-0.21513438942440377
38,-0.21322704079159127
39,-0.23158527138241158
40,-0.23873782875545846
41,-0.24088359596737252
42,-0.22681689980038033
43,-0.20678973915584908
44,-0.2129886222124897
45,-0.21823383095272408
46,-0.21704173805721627
47,-0.22395587685116158
48,-0.2537581992388569
49,-0.22610164406307565
50,-0.20702815773495065
51,-0.19868350746639596
52,-0.2384994101763569
53,-0.24136043312557565
54,-0.2442214560747944
55,-0.22777057411678658
56,-0.22347903969295846
57,-0.2110812735796772
58,-0.21418071510799752
59,-0.22848582985409127
60,-0.24827457191952096
61,-0.2499435019732319
62,-0.22276378395565377
63,-0.2206180167437397
64,-0.23420787575252877
65,-0.24374461891659127
66,-0.21775699379452096
67,-0.22300220253475533
68,-0.2365920615435444
69,-0.24136043312557565
70,-0.2232406211138569
71,-0.2168033194781147
72,-0.22371745827206002
73,-0.24779773476131783
74,-0.24112201454647408
75,-0.22586322548397408
76,-0.2053592276812397
77,-0.23182368996151315
78,-0.24016834023006783
79,-0.25018192055233346
80,-0.22967792274959908
81,-0.2148959708453022
82,-0.19987560036190377
83,-0.21728015663631783
84,-0.23706889870174752
85,-0.24064517738827096
86,-0.23730731728084908
87,-0.2168033194781147
88,-0.20845866920956002
89,-0.20750499489315377
90,-0.21847224953182565
91,-0.2129886222124897
92,-0.23063159706600533
93,-0.23373103859432565
94,-0.2244327140093647
95,-0.2148959708453022
96,-0.250420339131435
97,-0.2523276877642475
98,-0.22467113258846627
99,-0.20822025063045846
100,-0.2194259238482319
101,-0.23349262001522408
102,-0.2339694571734272
103,-0.23611522438534127
104,-0.2232406211138569
105,-0.22157169106014596
106,-0.21990276100643502
107,-0.21656490089901315
108,-0.21728015663631783
109,-0.2396915030718647
110,-0.23182368996151315
111,-0.22395587685116158
112,-0.2117965293169819
113,-0.22538638832577096
114,-0.21799541237362252
115,-0.2435062003374897
116,-0.23301578285702096
117,-0.22371745827206002
118,-0.22681689980038033
119,-0.2270553183794819
120,-0.22371745827206002
121,-0.2175185752154194
122,-0.23325420143612252
123,-0.22777057411678658
124,-0.23182368996151315
125,-0.22610164406307565
126,-0.23134685280331002
127,-0.22753215553768502
128,-0.2308700156451069
129,-0.21918750526913033
130,-0.2339694571734272
131,-0.24708247902401315
132,-0.23635364296444283
133,-0.20059085609920846
134,-0.21322704079159127
135,-0.2327773642779194
136,-0.24946666481502877
137,-0.22943950417049752
138,-0.2156112265826069
139,-0.20965076210506783
140,-0.21465755226620065
141,-0.24302936317928658
142,-0.23230052711971627
143,-0.21084285500057565
144,-0.21894908669002877
145,-0.22872424843319283
146,-0.2396915030718647
147,-0.25852657082088815
148,-0.24136043312557565
149,-0.2175185752154194
150,-0.20869708778866158
151,-0.22157169106014596
152,-0.22848582985409127
153,-0.2244327140093647
154,-0.22300220253475533
155,-0.2404067588091694
156,-0.23325420143612252
157,-0.2194259238482319
158,-0.20655132057674752
159,-0.2168033194781147
160,-0.23611522438534127
161,-0.22419429543026315
162,-0.2320621085406147
163,-0.23492313148983346
164,-0.22586322548397408
165,-0.2003524375201069
166,-0.2225253653765522
167,-0.24445987465389596
168,-0.25590396645077096
169,-0.22157169106014596
170,-0.2091739249468647
171,-0.2225253653765522
172,-0.23516155006893502
173,-0.23539996864803658
174,-0.23992992165096627
175,-0.2346847129107319
176,-0.22610164406307565
177,-0.2194259238482319
178,-0.21966434242733346
179,-0.2358768058062397
180,-0.23301578285702096
181,-0.24565196754940377
182,-0.2282474112749897
183,-0.20822025063045846
184,-0.19796825172909127
185,-0.23349262001522408
186,-0.2537581992388569
187,-0.2442214560747944
188,-0.22419429543026315
189,-0.22395587685116158
190,-0.20273662331112252
191,-0.21418071510799752
192,-0.22300220253475533
193,-0.21990276100643502
194,-0.24207568886288033
195,-0.24016834023006783
196,-0.2423141074419819
197,-0.24660564186581002
198,-0.24326778175838815
199,-0.20082927467831002
200,-0.19129253151424752
201,-0.23730731728084908
202,-0.27259326698788033
203,-0.23826099159725533
204,-0.21131969215877877
205,-0.18962360146053658
206,-0.21656490089901315
207,-0.2404067588091694
208,-0.25590396645077096
209,-0.2289626670122944
210,-0.21441913368709908
211,-0.20702815773495065
212,-0.23134685280331002
213,-0.24207568886288033
214,-0.2435062003374897
215,-0.21799541237362252
216,-0.21608806374081002
217,-0.21799541237362252
218,-0.22753215553768502
219,-0.2244327140093647
220,-0.21394229652889596
221,-0.22037959816463815
222,-0.24255252602108346
223,-0.26186443092831
224,-0.2301547599078022
225,-0.2015445304156147
226,-0.1946303916216694
227,-0.22014117958553658
228,-0.21632648231991158
229,-0.2511355948687397
230,-0.25709605934627877
231,-0.2454135489703022
232,-0.20774341347225533
233,-0.19367671730526315
234,-0.21131969215877877
235,-0.2384994101763569
236,-0.2499435019732319
237,-0.2518508506060444
238,-0.23110843422420846
239,-0.2079818320513569
240,-0.22943950417049752
241,-0.2396915030718647
242,-0.23826099159725533
243,-0.2301547599078022
244,-0.22490955116756783
245,-0.2117965293169819
246,-0.2072665763140522
247,-0.19057727577694283
248,-0.21322704079159127
249,-0.2511355948687397
250,-0.25280452492245065
251,-0.2339694571734272
252,-0.23110843422420846
253,-0.2137038779497944
254,-0.2060744834185444
255,-0.22467113258846627
256,-0.25328136208065377
257,-0.25280452492245065
258,-0.2327773642779194
259,-0.20750499489315377
260,-0.20464397194393502
261,-0.22085643532284127
262,-0.22777057411678658
263,-0.23754573585995065
264,-0.25399661781795846
265,-0.2415988517046772
266,-0.1984450888872944
267,-0.21251178505428658
268,-0.2225253653765522
269,-0.23158527138241158
270,-0.2377841544390522
271,-0.2282474112749897
272,-0.21060443642147408
273,-0.22085643532284127
274,-0.24136043312557565
275,-0.22037959816463815
276,-0.20059085609920846
277,-0.2072665763140522
278,-0.2282474112749897
279,-0.23611522438534127
280,-0.23492313148983346
281,-0.22872424843319283
282,-0.23301578285702096
283,-0.21966434242733346
284,-0.21513438942440377
285,-0.21012759926327096
286,-0.23349262001522408
287,-0.23492313148983346
288,-0.23635364296444283
289,-0.21966434242733346
290,-0.20750499489315377
291,-0.20440555336483346
292,-0.2117965293169819
293,-0.24565196754940377
294,-0.23039317848690377
295,-0.21203494789608346
296,-0.21036601784237252
297,-0.23706889870174752
298,-0.22610164406307565
299,-0.23182368996151315
300,-0.23349262001522408
301,-0.2480361533404194
302,-0.22753215553768502
303,-0.22109485390194283
304,-0.20702815773495065
305,-0.22610164406307565
306,-0.2442214560747944
307,-0.23826099159725533
308,-0.22490955116756783
309,-0.21704173805721627
310,-0.2110812735796772
311,-0.2263400626421772
312,-0.24326778175838815
313,-0.2301547599078022
314,-0.21990276100643502
315,-0.21227336647518502
316,-0.2289626670122944
317,-0.22037959816463815
318,-0.22610164406307565
319,-0.23039317848690377
320,-0.2308700156451069
321,-0.2213332724810444
322,-0.23706889870174752
323,-0.22419429543026315
324,-0.22848582985409127
325,-0.2194259238482319
326,-0.21322704079159127
327,-0.2168033194781147
328,-0.23349262001522408
329,-0.2365920615435444
330,-0.22872424843319283
331,-0.24112201454647408
332,-0.22109485390194283
333,-0.2060744834185444
334,-0.21990276100643502
335,-0.23992992165096627
336,-0.22848582985409127
337,-0.2289626670122944
338,-0.21704173805721627
339,-0.20965076210506783
340,-0.21632648231991158
341,-0.22347903969295846
342,-0.21894908669002877
343,-0.22371745827206002
344,-0.22657848122127877
345,-0.22204852821834908
346,-0.21584964516170846
347,-0.21966434242733346
348,-0.23516155006893502
349,-0.22276378395565377
350,-0.2213332724810444
351,-0.21275020363338815
352,-0.22872424843319283
353,-0.22777057411678658
354,-0.2301547599078022
355,-0.23230052711971627
356,-0.24374461891659127
357,-0.21823383095272408
358,-0.19820667030819283
359,-0.19725299599178658
360,-0.21990276100643502
361,-0.22967792274959908
