,NIG021_UD 100.0(Hz) unit:(gal)
0,0.03931914683568438
1,0.00474845286595782
2,0.008324731552481257
3,0.01809989329564532
4,0.020245660507559382
5,0.017861474716543757
6,0.01047049876439532
7,0.020245660507559382
8,0.030259240829825007
9,0.030259240829825007
10,0.013093103134512507
11,0.010232080185293757
12,0.02096091624486407
13,0.01714621897923907
14,0.020484079086660945
15,0.023345102035879695
16,0.019530404770254695
17,0.022153009140371882
18,0.01619254466283282
19,0.012139428818106257
20,0.01237784739720782
21,0.00665580149877032
22,0.012139428818106257
23,0.026921380722403132
24,0.032881845199942195
25,0.02668296214330157
26,0.015477288925528132
27,0.01428519603002032
28,0.025967706405996882
29,0.00856315013158282
30,0.00760947581517657
31,0.026921380722403132
32,0.04480277415502032
33,0.02572928782689532
34,0.007371057236075007
35,0.00665580149877032
36,0.023345102035879695
37,0.021676171982168757
38,0.019291986191153132
39,0.016907800400137507
40,0.018815149032950007
41,0.026206124985098445
42,0.024060357773184382
43,0.03168975230443438
44,0.023106683456778132
45,0.00760947581517657
46,0.010232080185293757
47,0.016907800400137507
48,0.01047049876439532
49,0.024537194931387507
50,0.018815149032950007
51,0.014046777450918757
52,0.009039987289785945
53,0.017623056137442195
54,0.012616265976309382
55,0.003079522812246882
56,0.018338311874746882
57,0.02763663645970782
58,0.01905356761205157
59,0.023106683456778132
60,0.008324731552481257
61,0.001649011337637507
62,0.03407393809545001
63,0.024537194931387507
64,0.002602685654043757
65,0.017861474716543757
66,0.03240500804173907
67,0.016907800400137507
68,0.008324731552481257
69,0.010708917343496882
70,0.031928170883535945
71,0.03979598399388751
72,0.027875055038809382
73,0.0028411042331453196
74,0.00951682444798907
75,0.028113473617910945
76,0.04647170420873126
77,0.020722497665762507
78,0.01428519603002032
79,0.017623056137442195
80,0.012139428818106257
81,0.006417382919668757
82,0.027159799301504695
83,0.030259240829825007
84,0.02191459056127032
85,0.023583520614981257
86,0.024298776352285945
87,0.014046777450918757
88,0.00856315013158282
89,0.01428519603002032
90,0.034789193832754695
91,0.04313384410130938
92,0.015954126083731257
93,0.013569940292715632
94,0.028828729355215632
95,0.039557565414785945
96,0.009039987289785945
97,-0.0014504301906828054
98,0.021199334823965632
99,0.02572928782689532
100,0.01428519603002032
101,0.006894220077871882
102,0.010232080185293757
103,0.024060357773184382
104,0.031212915146231257
105,0.017623056137442195
106,0.015715707504629695
107,0.010708917343496882
108,0.011662591659903132
109,0.022391427719473445
110,0.03621970530736407
111,0.02668296214330157
112,0.013569940292715632
113,0.016669381821035945
114,0.01428519603002032
115,0.005463708603262507
116,0.026921380722403132
117,0.04265700694310626
118,0.019291986191153132
119,0.00570212718236407
120,0.0028411042331453196
121,0.00760947581517657
122,0.01523887034642657
123,0.02477561351048907
124,0.021437753403067195
125,0.03598128672826251
126,0.016430963241934382
127,0.0018874299167390696
128,-0.00478829029810468
129,0.02096091624486407
130,0.019291986191153132
131,0.01905356761205157
132,0.031212915146231257
133,0.036696542465567195
134,0.01047049876439532
135,0.01619254466283282
136,0.021437753403067195
137,0.02572928782689532
138,0.04218016978490313
139,0.025967706405996882
140,0.004510034286856257
141,0.010232080185293757
142,0.02477561351048907
143,0.02859031077611407
144,0.019291986191153132
145,0.018815149032950007
146,0.015715707504629695
147,0.015477288925528132
148,0.030259240829825007
149,0.04480277415502032
150,0.03502761241185626
151,0.027159799301504695
152,0.02572928782689532
153,0.028351892197012507
154,0.026206124985098445
155,0.011901010239004695
156,0.011662591659903132
157,0.04551802989232501
158,0.040511239731192195
159,0.009278405868887507
160,0.0028411042331453196
161,0.024060357773184382
162,0.03717337962377032
163,0.01523887034642657
164,0.013569940292715632
165,0.031928170883535945
166,0.018338311874746882
167,0.0037947785495515696
168,0.015477288925528132
169,0.026444543564200007
170,0.02954398509252032
171,0.026444543564200007
172,0.01905356761205157
173,-1.991871607343043e-05
174,-0.0028809416652921804
175,0.021437753403067195
176,0.03431235667455157
177,0.023106683456778132
178,0.015954126083731257
179,-0.0009735930324796804
180,0.013093103134512507
181,0.009039987289785945
182,0.009039987289785945
183,0.027159799301504695
184,0.046233285629629695
185,0.02096091624486407
186,0.00045691844212969457
187,-0.0024041045070890554
188,0.008086312973379695
189,0.02763663645970782
190,0.026921380722403132
191,0.021199334823965632
192,0.017384637558340632
193,0.004033197128653132
194,-0.01051033619654218
195,0.016430963241934382
196,0.03645812388646563
197,0.03168975230443438
198,0.0006953370212312571
199,0.018338311874746882
200,0.036696542465567195
201,0.025490869247793757
202,0.014762033188223445
203,0.019530404770254695
204,0.026206124985098445
205,0.03908072825658282
206,0.01142417308080157
207,0.003079522812246882
208,0.03168975230443438
209,0.04861747142064532
210,0.026921380722403132
211,0.01237784739720782
212,0.015954126083731257
213,0.019291986191153132
214,0.015000451767325007
215,0.020722497665762507
216,0.03240500804173907
217,0.023583520614981257
218,0.019768823349356257
219,0.02286826487767657
220,0.007847894394278132
221,-0.0024041045070890554
222,0.011185754501700007
223,0.03335868235814532
224,0.04289542552220782
225,0.025967706405996882
226,0.008801568710684382
227,0.008086312973379695
228,0.023345102035879695
229,0.016430963241934382
230,0.013808358871817195
231,0.020484079086660945
232,0.031212915146231257
233,0.03145133372533282
234,0.01523887034642657
235,0.01523887034642657
236,0.020722497665762507
237,0.02572928782689532
238,0.03359710093724688
239,0.030974496567129695
240,0.015715707504629695
241,0.008801568710684382
242,0.0033179413913484446
243,0.022153009140371882
244,0.04361068125951251
245,0.030020822250723445
246,0.023583520614981257
247,0.017861474716543757
248,0.014523614609121882
249,0.016669381821035945
250,0.02859031077611407
251,0.030259240829825007
252,0.03621970530736407
253,0.019291986191153132
254,0.011901010239004695
255,0.001649011337637507
256,0.003079522812246882
257,0.01905356761205157
258,0.03908072825658282
259,0.034789193832754695
260,0.011901010239004695
261,-0.0028809416652921804
262,0.0037947785495515696
263,0.02191459056127032
264,0.03168975230443438
265,0.020722497665762507
266,0.03168975230443438
267,0.02668296214330157
268,0.004033197128653132
269,0.00760947581517657
270,0.01905356761205157
271,0.02859031077611407
272,0.03359710093724688
273,0.013808358871817195
274,0.002125848495840632
275,0.017623056137442195
276,0.03264342662084063
277,0.03621970530736407
278,0.022153009140371882
279,0.016430963241934382
280,0.003556359970450007
281,0.012616265976309382
282,0.03168975230443438
283,0.03908072825658282
284,0.03407393809545001
285,0.02859031077611407
286,0.022391427719473445
287,0.02000724192845782
288,0.016430963241934382
289,0.01333152171361407
290,0.027875055038809382
291,0.03455077525365313
292,0.025490869247793757
293,0.0006953370212312571
294,0.019768823349356257
295,0.03836547251927813
296,0.017623056137442195
297,-0.0009735930324796804
298,0.02763663645970782
299,0.02954398509252032
300,0.02382193919408282
301,0.015000451767325007
302,0.016669381821035945
303,0.01905356761205157
304,0.024060357773184382
305,0.023345102035879695
306,0.012854684555410945
307,0.004510034286856257
308,0.022629846298575007
309,0.017861474716543757
310,0.020722497665762507
311,0.025014032089590632
312,0.013569940292715632
313,0.01047049876439532
314,0.02096091624486407
315,0.02382193919408282
316,0.023106683456778132
317,0.02191459056127032
318,0.01523887034642657
319,0.019768823349356257
320,0.02191459056127032
321,0.022153009140371882
322,0.013093103134512507
323,0.017623056137442195
324,0.022153009140371882
325,0.029067147934317195
326,0.02954398509252032
327,0.019291986191153132
328,0.0037947785495515696
329,0.017861474716543757
330,0.029782403671621882
331,0.01047049876439532
332,0.008801568710684382
333,0.03812705394017657
334,0.03359710093724688
335,0.012616265976309382
336,0.01047049876439532
337,0.010708917343496882
338,0.02477561351048907
339,0.021199334823965632
340,0.019530404770254695
341,0.010947335922598445
342,0.02096091624486407
343,0.03741179820287188
344,0.02668296214330157
345,0.018815149032950007
346,0.018576730453848445
347,0.009993661606192195
348,-0.0014504301906828054
349,0.0014105927585359446
350,0.02954398509252032
351,0.03979598399388751
352,0.03216658946263751
353,0.01714621897923907
354,0.01237784739720782
355,0.005225290024160945
356,0.010947335922598445
357,0.03526603099095782
358,0.04122649546849688
359,0.026444543564200007
360,0.009993661606192195
361,0.004510034286856257
362,0.023583520614981257
363,0.023583520614981257
364,0.012139428818106257
365,0.030259240829825007
366,0.04361068125951251
367,0.017384637558340632
368,0.0028411042331453196
369,0.015477288925528132
370,0.030020822250723445
371,0.02572928782689532
372,0.019768823349356257
373,0.004033197128653132
374,0.007371057236075007
375,0.011662591659903132
376,0.018815149032950007
377,0.023345102035879695
378,0.028113473617910945
379,0.015000451767325007
380,0.022153009140371882
381,0.01333152171361407
382,0.006894220077871882
383,0.010708917343496882
384,0.03645812388646563
385,0.02286826487767657
386,0.00856315013158282
387,0.012139428818106257
388,0.018338311874746882
389,0.012854684555410945
390,0.013093103134512507
391,0.025252450668692195
392,0.03550444957005938
393,0.010708917343496882
394,0.003079522812246882
395,0.02382193919408282
396,0.03431235667455157
397,0.02763663645970782
398,0.005225290024160945
399,0.016430963241934382
400,0.03645812388646563
401,0.02191459056127032
402,0.009755243027090632
403,0.01905356761205157
404,0.024298776352285945
405,0.022391427719473445
406,0.02477561351048907
407,0.020245660507559382
408,0.02096091624486407
409,0.03455077525365313
410,0.03216658946263751
411,0.016669381821035945
412,0.015715707504629695
413,0.021676171982168757
414,0.025967706405996882
415,0.024537194931387507
416,0.031928170883535945
417,0.037650216781973445
418,0.032881845199942195
419,0.019291986191153132
420,0.014046777450918757
421,0.025252450668692195
422,0.013569940292715632
423,0.01047049876439532
424,0.02859031077611407
425,0.039557565414785945
426,0.029067147934317195
427,0.012616265976309382
428,0.022629846298575007
429,0.025490869247793757
430,0.004510034286856257
431,0.01809989329564532
432,0.040511239731192195
433,0.03812705394017657
434,0.012616265976309382
435,-0.0024041045070890554
436,0.01714621897923907
437,0.02477561351048907
438,0.019768823349356257
439,0.022153009140371882
440,0.009039987289785945
441,0.009278405868887507
442,0.01428519603002032
443,0.020722497665762507
444,0.039557565414785945
445,0.021437753403067195
446,0.015954126083731257
447,0.013093103134512507
448,0.018338311874746882
449,0.014762033188223445
450,0.03526603099095782
451,0.030020822250723445
452,0.009993661606192195
453,0.004271615707754695
454,0.01142417308080157
455,0.012854684555410945
456,0.006417382919668757
457,0.018815149032950007
458,0.03145133372533282
459,0.029305566513418757
460,0.017384637558340632
461,0.016430963241934382
462,0.009039987289785945
463,0.027398217880606257
464,0.02668296214330157
465,0.016669381821035945
466,0.026206124985098445
467,0.03049765940892657
468,0.01142417308080157
469,0.00760947581517657
470,0.01523887034642657
471,0.024537194931387507
472,0.02191459056127032
473,0.017623056137442195
474,0.007847894394278132
475,0.007847894394278132
476,0.02859031077611407
477,0.024537194931387507
478,0.018338311874746882
479,0.01905356761205157
480,0.008324731552481257
481,0.0009337556003328196
482,0.023106683456778132
483,0.03741179820287188
484,0.038603891098379695
485,0.02382193919408282
486,0.021437753403067195
487,0.01237784739720782
488,0.01333152171361407
489,0.013808358871817195
490,0.022391427719473445
491,0.03168975230443438
492,0.04551802989232501
493,0.026921380722403132
494,0.008086312973379695
495,0.018815149032950007
496,0.031212915146231257
497,0.01809989329564532
498,0.01619254466283282
499,0.026921380722403132
500,0.029067147934317195
501,0.022153009140371882
502,0.016907800400137507
503,0.012616265976309382
504,0.017384637558340632
505,0.024060357773184382
506,0.016907800400137507
507,0.020484079086660945
508,0.021199334823965632
509,0.013569940292715632
510,0.032881845199942195
511,0.030974496567129695
512,0.023345102035879695
513,0.02000724192845782
514,0.01809989329564532
515,0.01809989329564532
516,0.023583520614981257
517,0.019768823349356257
518,0.02477561351048907
519,0.008324731552481257
