,NIGH01_EW2 200.0(Hz) unit:(gal)
0,0.14293634096781416
1,0.14698945681254072
2,0.1515194098154704
3,0.15438043276468916
4,0.1534267584482829
5,0.1484199682871501
6,0.14150582949320478
7,0.13578378359476728
8,0.13387643496195478
9,0.13602220217386884
10,0.13936006228129072
11,0.1407905737559001
12,0.14031373659769697
13,0.13959848086039228
14,0.13959848086039228
15,0.13936006228129072
16,0.1381679693857829
17,0.13649903933207197
18,0.13578378359476728
19,0.13649903933207197
20,0.13792955080668134
21,0.13864480654398603
22,0.13769113222757978
23,0.13649903933207197
24,0.13673745791117353
25,0.13936006228129072
26,0.1426979223887126
27,0.1438900152842204
28,0.14174424807230634
29,0.13721429506937666
30,0.13411485354105634
31,0.13459169069925947
32,0.1381679693857829
33,0.14222108523050947
34,0.1438900152842204
35,0.14245950380961103
36,0.14055215517679853
37,0.14031373659769697
38,0.1419826666514079
39,0.14341317812601728
40,0.14341317812601728
41,0.1426979223887126
42,0.14126741091410322
43,0.13936006228129072
44,0.1381679693857829
45,0.13840638796488447
46,0.13983689943949384
47,0.14031373659769697
48,0.13864480654398603
49,0.1362606207529704
50,0.13459169069925947
51,0.1343532721201579
52,0.13602220217386884
53,0.13864480654398603
54,0.13959848086039228
55,0.13769113222757978
56,0.1350685278574626
57,0.1343532721201579
58,0.13602220217386884
59,0.13840638796488447
60,0.14055215517679853
61,0.14174424807230634
62,0.1419826666514079
63,0.14055215517679853
64,0.13864480654398603
65,0.13769113222757978
66,0.13745271364847822
67,0.13721429506937666
68,0.1369758764902751
69,0.13792955080668134
70,0.13936006228129072
71,0.1388832251230876
72,0.13673745791117353
73,0.13483010927836103
74,0.13459169069925947
75,0.1350685278574626
76,0.13459169069925947
77,0.13363801638285322
78,0.13268434206644697
79,0.13220750490824384
80,0.13173066775004072
81,0.13268434206644697
82,0.13483010927836103
83,0.13649903933207197
84,0.13769113222757978
85,0.13959848086039228
86,0.1419826666514079
87,0.14341317812601728
88,0.14341317812601728
89,0.14245950380961103
90,0.1400753180185954
91,0.1369758764902751
92,0.13459169069925947
93,0.13411485354105634
94,0.13387643496195478
95,0.13339959780375166
96,0.13363801638285322
97,0.13602220217386884
98,0.13936006228129072
99,0.14102899233500166
100,0.13983689943949384
101,0.1369758764902751
102,0.1350685278574626
103,0.13483010927836103
104,0.13530694643656416
105,0.13721429506937666
106,0.14055215517679853
107,0.14317475954691572
108,0.14412843386332197
109,0.14365159670511884
110,0.1419826666514079
111,0.14055215517679853
112,0.14055215517679853
113,0.14222108523050947
114,0.1438900152842204
115,0.14412843386332197
116,0.14293634096781416
117,0.1419826666514079
118,0.1407905737559001
119,0.13840638796488447
120,0.13554536501566572
121,0.13387643496195478
122,0.13459169069925947
123,0.13602220217386884
124,0.1362606207529704
125,0.1362606207529704
126,0.13745271364847822
127,0.1388832251230876
128,0.13936006228129072
129,0.14031373659769697
130,0.14150582949320478
131,0.14150582949320478
132,0.14031373659769697
133,0.1388832251230876
134,0.13792955080668134
135,0.13745271364847822
136,0.13721429506937666
137,0.13673745791117353
138,0.13673745791117353
139,0.1362606207529704
140,0.13411485354105634
141,0.13173066775004072
142,0.1305385748545329
143,0.13220750490824384
144,0.13602220217386884
145,0.1400753180185954
146,0.14150582949320478
147,0.13936006228129072
148,0.13745271364847822
149,0.1388832251230876
150,0.14293634096781416
151,0.1446052710215251
152,0.14245950380961103
153,0.13912164370218916
154,0.13769113222757978
155,0.13769113222757978
156,0.13673745791117353
157,0.1343532721201579
158,0.13268434206644697
159,0.13339959780375166
160,0.13554536501566572
161,0.1381679693857829
162,0.13936006228129072
163,0.1388832251230876
164,0.13673745791117353
165,0.1350685278574626
166,0.13554536501566572
167,0.13840638796488447
168,0.14126741091410322
169,0.14102899233500166
170,0.1381679693857829
171,0.13554536501566572
172,0.13554536501566572
173,0.1381679693857829
174,0.1407905737559001
175,0.14126741091410322
176,0.1388832251230876
177,0.13483010927836103
178,0.13077699343363447
179,0.1286312262217204
180,0.13006173769632978
181,0.13363801638285322
182,0.13602220217386884
183,0.1362606207529704
184,0.13673745791117353
185,0.13840638796488447
186,0.1388832251230876
187,0.1369758764902751
188,0.1343532721201579
189,0.1343532721201579
190,0.1369758764902751
191,0.1407905737559001
192,0.14293634096781416
193,0.14245950380961103
194,0.1400753180185954
195,0.13721429506937666
196,0.1343532721201579
197,0.13292276064554853
198,0.13387643496195478
199,0.13578378359476728
200,0.13649903933207197
201,0.13554536501566572
202,0.1350685278574626
203,0.1369758764902751
204,0.1407905737559001
205,0.14317475954691572
206,0.14245950380961103
207,0.13840638796488447
208,0.13387643496195478
209,0.13339959780375166
210,0.13745271364847822
211,0.14317475954691572
212,0.14603578249613447
213,0.14341317812601728
214,0.13673745791117353
215,0.13077699343363447
216,0.13006173769632978
217,0.1343532721201579
218,0.13912164370218916
219,0.1407905737559001
220,0.1388832251230876
221,0.13602220217386884
222,0.1343532721201579
223,0.1343532721201579
224,0.13649903933207197
225,0.1407905737559001
226,0.14555894533793134
227,0.14818154970804853
228,0.14627420107523603
229,0.13983689943949384
230,0.1324459234873454
231,0.1286312262217204
232,0.1305385748545329
233,0.13554536501566572
234,0.14031373659769697
235,0.14245950380961103
236,0.14317475954691572
237,0.1426979223887126
238,0.1407905737559001
239,0.13840638796488447
240,0.13673745791117353
241,0.13792955080668134
242,0.14102899233500166
243,0.14222108523050947
244,0.14055215517679853
245,0.13769113222757978
246,0.13483010927836103
247,0.13339959780375166
248,0.13363801638285322
249,0.13483010927836103
250,0.13554536501566572
251,0.13483010927836103
252,0.13387643496195478
253,0.13339959780375166
254,0.13411485354105634
255,0.1350685278574626
256,0.13530694643656416
257,0.1343532721201579
258,0.1331611792246501
259,0.13363801638285322
260,0.13530694643656416
261,0.1369758764902751
262,0.13912164370218916
263,0.14174424807230634
264,0.14341317812601728
265,0.14293634096781416
266,0.13959848086039228
267,0.1350685278574626
268,0.13173066775004072
269,0.13196908632914228
270,0.13387643496195478
271,0.13459169069925947
272,0.13387643496195478
273,0.13339959780375166
274,0.1350685278574626
275,0.13745271364847822
276,0.1381679693857829
277,0.1381679693857829
278,0.13864480654398603
279,0.13840638796488447
280,0.13673745791117353
281,0.13578378359476728
282,0.1362606207529704
283,0.13554536501566572
284,0.13411485354105634
285,0.13387643496195478
286,0.1350685278574626
287,0.13602220217386884
288,0.13602220217386884
289,0.13530694643656416
290,0.1350685278574626
291,0.13578378359476728
292,0.13649903933207197
293,0.13769113222757978
294,0.13840638796488447
295,0.13721429506937666
296,0.13483010927836103
297,0.13483010927836103
298,0.13792955080668134
299,0.14126741091410322
300,0.1419826666514079
301,0.13983689943949384
302,0.13649903933207197
303,0.13387643496195478
304,0.13268434206644697
305,0.13268434206644697
306,0.13387643496195478
307,0.13578378359476728
308,0.13673745791117353
309,0.13530694643656416
310,0.1343532721201579
311,0.1362606207529704
312,0.13983689943949384
313,0.14245950380961103
314,0.14222108523050947
315,0.14031373659769697
316,0.1388832251230876
317,0.13959848086039228
318,0.14102899233500166
319,0.14174424807230634
320,0.14055215517679853
321,0.13936006228129072
322,0.14031373659769697
323,0.14174424807230634
324,0.14102899233500166
325,0.1381679693857829
326,0.13602220217386884
327,0.13554536501566572
328,0.13602220217386884
329,0.13769113222757978
330,0.1400753180185954
331,0.14102899233500166
332,0.13983689943949384
333,0.1381679693857829
334,0.1381679693857829
335,0.1400753180185954
336,0.14341317812601728
337,0.1465126196543376
338,0.1477047125498454
339,0.14722787539164228
340,0.14412843386332197
341,0.13936006228129072
342,0.13483010927836103
343,0.13220750490824384
344,0.1324459234873454
345,0.1350685278574626
346,0.13912164370218916
347,0.14150582949320478
348,0.13959848086039228
349,0.13602220217386884
350,0.13483010927836103
351,0.1362606207529704
352,0.13840638796488447
353,0.13936006228129072
354,0.14055215517679853
355,0.14126741091410322
356,0.1400753180185954
357,0.1381679693857829
358,0.13721429506937666
359,0.13721429506937666
360,0.13721429506937666
361,0.1369758764902751
362,0.13602220217386884
363,0.13459169069925947
364,0.13268434206644697
365,0.13173066775004072
366,0.13220750490824384
367,0.13339959780375166
368,0.13483010927836103
369,0.1369758764902751
370,0.1388832251230876
371,0.13936006228129072
372,0.13864480654398603
373,0.13840638796488447
374,0.1388832251230876
375,0.1381679693857829
376,0.13530694643656416
377,0.13149224917093916
378,0.1293464819590251
379,0.13030015627543134
380,0.13292276064554853
381,0.13578378359476728
382,0.1369758764902751
383,0.13673745791117353
384,0.13649903933207197
385,0.13602220217386884
386,0.13530694643656416
387,0.1350685278574626
388,0.13530694643656416
389,0.1362606207529704
390,0.1381679693857829
391,0.13983689943949384
392,0.1400753180185954
393,0.13983689943949384
394,0.13936006228129072
395,0.13864480654398603
396,0.1369758764902751
397,0.1343532721201579
