,NIG021_EW 100.0(Hz) unit:(gal)
0,0.3566631585060551
1,0.3280529290138676
2,0.33425181207050825
3,0.33687441644062543
4,0.35594790276875043
5,0.3504642754494145
6,0.34879534539570356
7,0.3442653923927739
8,0.3664383202492192
9,0.3623852044044926
10,0.3433117180763676
11,0.3306755333839848
12,0.3509411126076176
13,0.3547558098732426
14,0.3576168328224614
15,0.36023943719257856
16,0.3366359978615239
17,0.34879534539570356
18,0.35642473992695356
19,0.3518947869240239
20,0.33544390496601606
21,0.34116595086445356
22,0.3454574852882817
23,0.3738292962013676
24,0.3681072503029301
25,0.3611931115089848
26,0.3344902306496098
27,0.36023943719257856
28,0.3695377617775395
29,0.3626236229835942
30,0.33997385796894575
31,0.33043711480488325
32,0.3595241814552739
33,0.3785976677833989
34,0.36214678582539106
35,0.340927532285352
36,0.3459343224464848
37,0.34068911370625043
38,0.35261004266132856
39,0.3473648339210942
40,0.35713999566425825
41,0.34760325250019575
42,0.34498064813007856
43,0.3433117180763676
44,0.3478416710792973
45,0.352371624082227
46,0.36214678582539106
47,0.36667673882832075
48,0.3619083672462895
49,0.34688799676289106
50,0.3421196251808598
51,0.33806650933613325
52,0.321854045957227
53,0.3428348809181645
54,0.352371624082227
55,0.3585705071388676
56,0.35833208855976606
57,0.360001018613477
58,0.3414043694435551
59,0.3459343224464848
60,0.3156551629005864
61,0.3340133934914067
62,0.35976260003437543
63,0.3549942284523442
64,0.3237613945900395
65,0.3378280907570317
66,0.37311404046406293
67,0.36929934319843793
68,0.3390201836525395
69,0.3149399071632817
70,0.337112835019727
71,0.3607162743507817
72,0.367630413144727
73,0.33878176507343793
74,0.3435501366554692
75,0.35451739129414106
76,0.38193552789082075
77,0.371445110410352
78,0.36858408746113325
79,0.3461727410255864
80,0.33544390496601606
81,0.33234446343769575
82,0.3547558098732426
83,0.367630413144727
84,0.3747829705177739
85,0.3604778557716801
86,0.3478416710792973
87,0.3390201836525395
88,0.3459343224464848
89,0.3442653923927739
90,0.3683456688820317
91,0.3840812951027348
92,0.3538021355568364
93,0.33997385796894575
94,0.3416427880226567
95,0.3619083672462895
96,0.34259646233906293
97,0.34498064813007856
98,0.3671535759865239
99,0.3683456688820317
100,0.3268608361183598
101,0.3261455803810551
102,0.35833208855976606
103,0.36023943719257856
104,0.367630413144727
105,0.3530868798195317
106,0.34259646233906293
107,0.3473648339210942
108,0.35451739129414106
109,0.3490337639748051
110,0.3785976677833989
111,0.3604778557716801
112,0.34498064813007856
113,0.3404506951271489
114,0.3435501366554692
115,0.3433117180763676
116,0.3650078087746098
117,0.3518947869240239
118,0.34307329949726606
119,0.3390201836525395
120,0.35261004266132856
121,0.35833208855976606
122,0.3461727410255864
123,0.3511795311867192
124,0.3726372033058598
125,0.36977618035664106
126,0.3423580437599614
127,0.33305971917500043
128,0.3423580437599614
129,0.3669151574074223
130,0.360001018613477
131,0.3416427880226567
132,0.3404506951271489
133,0.37168352898945356
134,0.3473648339210942
135,0.34378855523457075
136,0.35404055413593793
137,0.3681072503029301
138,0.3657230645119145
139,0.3592857628761723
140,0.34831850823750043
141,0.3652462273537114
142,0.36929934319843793
143,0.3738292962013676
144,0.344742229550977
145,0.3352054863869145
146,0.33305971917500043
147,0.34068911370625043
148,0.3681072503029301
149,0.3721603661476567
150,0.37502138909687543
151,0.3554710656105473
152,0.34831850823750043
153,0.34498064813007856
154,0.3661999016701176
155,0.36548464593281293
156,0.3664383202492192
157,0.35451739129414106
158,0.3728756218849614
159,0.3492721825539067
160,0.3402122765480473
161,0.36095469292988325
162,0.37931292352070356
163,0.3459343224464848
164,0.32972185906757856
165,0.3538021355568364
166,0.367630413144727
167,0.35404055413593793
168,0.3325828820167973
169,0.344742229550977
170,0.3461727410255864
171,0.35642473992695356
172,0.35261004266132856
173,0.36476939019550825
174,0.3542789727150395
175,0.3604778557716801
176,0.35022585687031293
177,0.3433117180763676
178,0.3433117180763676
179,0.3669151574074223
180,0.36858408746113325
181,0.34307329949726606
182,0.3473648339210942
183,0.3700145989357426
184,0.3759750634132817
185,0.3478416710792973
186,0.3337749749123051
187,0.33925860223164106
188,0.35713999566425825
189,0.3440269738136723
190,0.3709682732521489
191,0.37120669183125043
192,0.3554710656105473
193,0.33305971917500043
194,0.3433117180763676
195,0.35404055413593793
196,0.36405413445820356
197,0.3402122765480473
198,0.3225693016945317
199,0.3657230645119145
200,0.3824123650490239
201,0.3511795311867192
202,0.32018511590351606
203,0.3397354393898442
204,0.3509411126076176
205,0.3528484612404301
206,0.33234446343769575
207,0.3473648339210942
208,0.35785525140156293
209,0.3738292962013676
210,0.3402122765480473
211,0.3421196251808598
212,0.34641115960468793
213,0.34450381097187543
214,0.333298137754102
215,0.35213320550312543
216,0.3569015770851567
217,0.3657230645119145
218,0.33615916070332075
219,0.3480800896583989
220,0.34951060113300825
221,0.363815715879102
222,0.36405413445820356
223,0.367630413144727
224,0.3657230645119145
225,0.34641115960468793
226,0.34188120660175825
227,0.35141794976582075
228,0.38575022515644575
229,0.379074504941602
230,0.35833208855976606
231,0.3287681847511723
232,0.3390201836525395
233,0.3466495781837895
234,0.3661999016701176
235,0.37311404046406293
236,0.3840812951027348
237,0.3631004601417973
238,0.3352054863869145
239,0.33687441644062543
240,0.3607162743507817
241,0.36786883172382856
242,0.3518947869240239
243,0.3504642754494145
244,0.3497490197121098
245,0.3480800896583989
246,0.3394970208107426
247,0.35451739129414106
248,0.3626236229835942
249,0.3509411126076176
250,0.3454574852882817
251,0.3688225060402348
252,0.36166994866718793
253,0.36786883172382856
254,0.34116595086445356
255,0.3185161858498051
256,0.3280529290138676
257,0.3633388787208989
258,0.39075701531757856
259,0.36357729730000043
260,0.3137478142677739
261,0.29872744378437543
