,NIGH01_UD1 200.0(Hz) unit:(gal)
0,-0.004517976442972582
1,-0.004994813601175707
2,-0.004517976442972582
3,-0.00427955786387102
4,-0.004756395022074145
5,-0.004517976442972582
6,-0.0033258835474647697
7,-0.0023722092310585197
8,-0.0023722092310585197
9,-0.0018953720728553947
10,-0.0011801163355507072
11,-0.0011801163355507072
12,-0.0023722092310585197
13,-0.0038027207056678947
14,-0.005471650759378832
15,-0.006663743654886645
16,-0.005948487917581957
17,-0.0038027207056678947
18,-0.002133790651956957
19,-0.0011801163355507072
20,-0.00046486059824601966
21,-0.00046486059824601966
22,-0.0016569534937538322
23,-0.003564302126566332
24,-0.004756395022074145
25,-0.004041139284769457
26,-0.002610627810160082
27,-0.0023722092310585197
28,-0.0038027207056678947
29,-0.00523323218027727
30,-0.004517976442972582
31,-0.0033258835474647697
32,-0.0033258835474647697
33,-0.0028490463892616447
34,-0.0014185349146522697
35,-0.0007032791773475822
36,-0.0033258835474647697
37,-0.006425325075785082
38,-0.005948487917581957
39,-0.0028490463892616447
40,1.1976559957105337e-05
41,0.00025039513905866784
42,-0.0011801163355507072
43,-0.003087464968363207
44,-0.0038027207056678947
45,-0.002133790651956957
46,1.1976559957105337e-05
47,1.1976559957105337e-05
48,-0.0028490463892616447
49,-0.006663743654886645
50,-0.009763185183206957
51,-0.010478440920511645
52,-0.00809425512949602
53,-0.0038027207056678947
54,-0.00022644201914445716
55,0.00025039513905866784
56,-0.0018953720728553947
57,-0.00427955786387102
58,-0.005948487917581957
59,-0.006902162233988207
60,-0.006425325075785082
61,-0.004517976442972582
62,-0.002133790651956957
63,-0.00046486059824601966
64,-0.00046486059824601966
65,-0.0014185349146522697
66,-0.003087464968363207
67,-0.004041139284769457
68,-0.004517976442972582
69,-0.004041139284769457
70,-0.0033258835474647697
71,-0.004041139284769457
72,-0.005710069338480395
73,-0.006902162233988207
74,-0.006425325075785082
75,-0.004517976442972582
76,-0.0018953720728553947
77,1.1976559957105337e-05
78,0.00025039513905866784
79,-0.0016569534937538322
80,-0.0033258835474647697
81,-0.003564302126566332
82,-0.0023722092310585197
83,-0.0016569534937538322
84,-0.0014185349146522697
85,1.1976559957105337e-05
86,0.002157743771871168
87,0.0028729995091758553
88,0.0016809066136680428
89,-0.0009416977564491447
90,-0.0033258835474647697
91,-0.004994813601175707
92,-0.005948487917581957
93,-0.005471650759378832
94,-0.004994813601175707
95,-0.005710069338480395
96,-0.006902162233988207
97,-0.005710069338480395
98,-0.0011801163355507072
99,0.003588255246480543
100,0.00430351098378523
101,0.0009656508763633553
102,-0.0033258835474647697
103,-0.00618690649668352
104,-0.007378999392191332
105,-0.006902162233988207
106,-0.005948487917581957
107,-0.004994813601175707
108,-0.003564302126566332
109,-0.0018953720728553947
110,-0.0016569534937538322
111,-0.0038027207056678947
112,-0.006902162233988207
113,-0.00809425512949602
114,-0.00714058081308977
115,-0.004994813601175707
116,-0.00427955786387102
117,-0.004994813601175707
118,-0.006425325075785082
119,-0.006663743654886645
120,-0.00427955786387102
121,-0.00022644201914445716
122,0.002157743771871168
123,0.0012040694554649178
124,-0.0018953720728553947
125,-0.004517976442972582
126,-0.005471650759378832
127,-0.005471650759378832
128,-0.005471650759378832
129,-0.005710069338480395
130,-0.005948487917581957
131,-0.005710069338480395
132,-0.00523323218027727
133,-0.004517976442972582
134,-0.00427955786387102
135,-0.004994813601175707
136,-0.005948487917581957
137,-0.005471650759378832
138,-0.004041139284769457
139,-0.0038027207056678947
140,-0.00523323218027727
141,-0.006663743654886645
142,-0.007617417971292895
143,-0.007378999392191332
144,-0.004994813601175707
145,-0.0018953720728553947
146,-0.00022644201914445716
147,-0.0016569534937538322
148,-0.005471650759378832
149,-0.008332673708597582
150,-0.00714058081308977
151,-0.003564302126566332
152,-0.0018953720728553947
153,-0.003564302126566332
154,-0.005948487917581957
155,-0.00714058081308977
156,-0.006902162233988207
157,-0.00618690649668352
158,-0.005471650759378832
159,-0.005710069338480395
160,-0.006663743654886645
161,-0.007855836550394457
162,-0.007378999392191332
163,-0.004994813601175707
164,-0.0016569534937538322
165,-0.00022644201914445716
166,-0.0014185349146522697
167,-0.003087464968363207
168,-0.0038027207056678947
169,-0.003087464968363207
170,-0.0014185349146522697
171,-0.0014185349146522697
172,-0.004041139284769457
173,-0.006663743654886645
174,-0.00618690649668352
175,-0.004041139284769457
176,-0.0033258835474647697
177,-0.004041139284769457
178,-0.004756395022074145
179,-0.00523323218027727
180,-0.00523323218027727
181,-0.004041139284769457
182,-0.002610627810160082
183,-0.0023722092310585197
184,-0.0033258835474647697
185,-0.0033258835474647697
186,-0.0016569534937538322
187,0.00025039513905866784
188,-0.00022644201914445716
189,-0.002133790651956957
190,-0.0038027207056678947
191,-0.004041139284769457
192,-0.0033258835474647697
193,-0.003087464968363207
194,-0.004517976442972582
195,-0.005710069338480395
196,-0.00523323218027727
197,-0.0033258835474647697
198,-0.0016569534937538322
199,-0.0011801163355507072
200,-0.0018953720728553947
201,-0.0023722092310585197
202,-0.0018953720728553947
203,-0.0009416977564491447
204,-0.00046486059824601966
205,-0.00022644201914445716
206,-0.00022644201914445716
207,-0.00022644201914445716
208,0.00025039513905866784
209,0.0012040694554649178
210,0.0014424880345664803
211,1.1976559957105337e-05
212,-0.0018953720728553947
213,-0.0028490463892616447
214,-0.003087464968363207
215,-0.0033258835474647697
216,-0.00427955786387102
217,-0.004994813601175707
218,-0.005471650759378832
219,-0.005471650759378832
220,-0.004517976442972582
221,-0.0033258835474647697
222,-0.0023722092310585197
223,-0.002610627810160082
224,-0.004041139284769457
225,-0.004994813601175707
226,-0.005471650759378832
227,-0.00618690649668352
228,-0.00714058081308977
229,-0.007855836550394457
230,-0.006425325075785082
231,-0.00427955786387102
232,-0.004041139284769457
233,-0.005710069338480395
234,-0.006902162233988207
235,-0.006663743654886645
236,-0.005948487917581957
237,-0.005471650759378832
238,-0.004756395022074145
239,-0.00427955786387102
240,-0.004041139284769457
241,-0.0038027207056678947
242,-0.0028490463892616447
243,-0.0014185349146522697
244,-0.0011801163355507072
245,-0.003564302126566332
246,-0.006425325075785082
247,-0.00714058081308977
248,-0.00523323218027727
249,-0.0028490463892616447
250,-0.0018953720728553947
251,-0.0028490463892616447
252,-0.004041139284769457
253,-0.0033258835474647697
254,-0.0016569534937538322
255,-0.0016569534937538322
256,-0.0023722092310585197
257,-0.0016569534937538322
258,-0.0007032791773475822
259,-0.0011801163355507072
260,-0.003564302126566332
261,-0.005471650759378832
262,-0.004756395022074145
263,-0.0016569534937538322
264,0.0019193251927696053
265,0.0033498366673789803
266,0.0007272322972617928
267,-0.00427955786387102
268,-0.008809510866800707
269,-0.00904792944590227
270,-0.004994813601175707
271,-0.0009416977564491447
272,-0.0007032791773475822
273,-0.002133790651956957
274,-0.0028490463892616447
275,-0.0028490463892616447
276,-0.003564302126566332
277,-0.00427955786387102
278,-0.004517976442972582
279,-0.004756395022074145
280,-0.005710069338480395
281,-0.005471650759378832
282,-0.004041139284769457
283,-0.0028490463892616447
284,-0.0018953720728553947
285,1.1976559957105337e-05
286,0.0023961623509727303
287,0.003111418088277418
288,1.1976559957105337e-05
289,-0.00523323218027727
290,-0.00904792944590227
291,-0.009524766604105395
292,-0.00714058081308977
293,-0.004756395022074145
294,-0.0038027207056678947
295,-0.0038027207056678947
296,-0.00427955786387102
297,-0.004517976442972582
298,-0.00523323218027727
299,-0.005948487917581957
300,-0.005948487917581957
301,-0.004756395022074145
302,-0.003564302126566332
303,-0.0028490463892616447
304,-0.00427955786387102
305,-0.00714058081308977
306,-0.00809425512949602
307,-0.006663743654886645
308,-0.00523323218027727
309,-0.004994813601175707
310,-0.004517976442972582
311,-0.002610627810160082
312,-0.0007032791773475822
313,0.0009656508763633553
314,0.0016809066136680428
315,0.00025039513905866784
316,-0.0016569534937538322
317,-0.0016569534937538322
318,1.1976559957105337e-05
319,0.0014424880345664803
320,0.0019193251927696053
321,0.002634580930074293
322,0.0033498366673789803
323,0.0028729995091758553
324,0.0004888137181602303
325,-0.003087464968363207
326,-0.005471650759378832
327,-0.00523323218027727
328,-0.003564302126566332
329,-0.0016569534937538322
330,0.0007272322972617928
331,0.0033498366673789803
332,0.00430351098378523
333,0.002634580930074293
334,-0.0009416977564491447
335,-0.004041139284769457
336,-0.005471650759378832
337,-0.005948487917581957
338,-0.006663743654886645
339,-0.006902162233988207
340,-0.005471650759378832
341,-0.0028490463892616447
342,-0.0023722092310585197
343,-0.0038027207056678947
344,-0.004994813601175707
345,-0.0033258835474647697
346,1.1976559957105337e-05
347,0.0028729995091758553
348,0.003111418088277418
349,0.0009656508763633553
350,-0.0023722092310585197
351,-0.00427955786387102
352,-0.004041139284769457
353,-0.0028490463892616447
354,-0.002133790651956957
355,-0.0018953720728553947
356,-0.002610627810160082
357,-0.00427955786387102
358,-0.00523323218027727
359,-0.0038027207056678947
360,-0.0011801163355507072
361,-0.0007032791773475822
362,-0.003087464968363207
363,-0.004517976442972582
364,-0.002610627810160082
365,0.0004888137181602303
366,0.0012040694554649178
367,-0.0014185349146522697
368,-0.00523323218027727
369,-0.006902162233988207
370,-0.00618690649668352
371,-0.004756395022074145
372,-0.0038027207056678947
373,-0.004041139284769457
374,-0.004756395022074145
375,-0.005471650759378832
376,-0.00523323218027727
377,-0.00427955786387102
378,-0.003564302126566332
379,-0.0033258835474647697
380,-0.004756395022074145
381,-0.005948487917581957
382,-0.00523323218027727
383,-0.0023722092310585197
384,-0.00046486059824601966
385,-0.0018953720728553947
386,-0.004994813601175707
387,-0.006425325075785082
388,-0.00523323218027727
389,-0.0023722092310585197
390,0.0004888137181602303
391,0.0012040694554649178
392,-0.00046486059824601966
393,-0.0033258835474647697
394,-0.004994813601175707
395,-0.00523323218027727
396,-0.00523323218027727
397,-0.005471650759378832
398,-0.004517976442972582
399,-0.002610627810160082
400,-0.0016569534937538322
401,-0.0018953720728553947
402,-0.003087464968363207
403,-0.004041139284769457
404,-0.004041139284769457
405,-0.003087464968363207
406,-0.0016569534937538322
407,-0.0014185349146522697
408,-0.0028490463892616447
409,-0.004994813601175707
410,-0.006425325075785082
411,-0.007855836550394457
412,-0.008332673708597582
413,-0.006902162233988207
414,-0.004041139284769457
415,-0.0018953720728553947
416,-0.0016569534937538322
417,-0.003087464968363207
418,-0.0038027207056678947
419,-0.0028490463892616447
420,-0.0016569534937538322
421,-0.0018953720728553947
422,-0.0033258835474647697
423,-0.004517976442972582
424,-0.004041139284769457
425,-0.002133790651956957
426,-0.0009416977564491447
427,-0.0014185349146522697
428,-0.002610627810160082
429,-0.0033258835474647697
430,-0.003564302126566332
431,-0.003087464968363207
432,-0.0023722092310585197
433,-0.0009416977564491447
434,-0.00022644201914445716
435,-0.0007032791773475822
436,-0.002133790651956957
437,-0.003087464968363207
438,-0.0033258835474647697
439,-0.004041139284769457
440,-0.005710069338480395
441,-0.00618690649668352
442,-0.00427955786387102
443,-0.0016569534937538322
444,1.1976559957105337e-05
445,0.0004888137181602303
446,-0.0007032791773475822
447,-0.002610627810160082
448,-0.0038027207056678947
449,-0.003564302126566332
450,-0.002610627810160082
451,-0.002133790651956957
452,-0.0028490463892616447
453,-0.0038027207056678947
454,-0.0038027207056678947
455,-0.0033258835474647697
456,-0.003087464968363207
457,-0.0038027207056678947
458,-0.004517976442972582
459,-0.00523323218027727
460,-0.006425325075785082
461,-0.00809425512949602
462,-0.00809425512949602
463,-0.006663743654886645
464,-0.004756395022074145
465,-0.003564302126566332
466,-0.0033258835474647697
467,-0.00523323218027727
468,-0.008809510866800707
469,-0.011432115236917895
470,-0.010240022341410082
471,-0.00714058081308977
472,-0.00427955786387102
473,-0.002133790651956957
474,-0.0018953720728553947
475,-0.004041139284769457
476,-0.006425325075785082
477,-0.005710069338480395
478,-0.0018953720728553947
479,0.002157743771871168
480,0.003588255246480543
481,0.0019193251927696053
482,-0.0009416977564491447
483,-0.004756395022074145
484,-0.008332673708597582
485,-0.009763185183206957
486,-0.007855836550394457
487,-0.004517976442972582
488,-0.0023722092310585197
489,-0.0016569534937538322
490,-0.0014185349146522697
491,-0.0018953720728553947
492,-0.003087464968363207
493,-0.00427955786387102
494,-0.004517976442972582
495,-0.003564302126566332
496,-0.0038027207056678947
497,-0.004756395022074145
498,-0.005471650759378832
499,-0.005471650759378832
500,-0.00523323218027727
501,-0.004756395022074145
502,-0.004517976442972582
503,-0.00523323218027727
504,-0.005948487917581957
505,-0.005948487917581957
506,-0.005948487917581957
507,-0.00523323218027727
508,-0.0033258835474647697
509,-0.0009416977564491447
510,-0.0007032791773475822
511,-0.003564302126566332
512,-0.006902162233988207
513,-0.00809425512949602
514,-0.00714058081308977
515,-0.005710069338480395
516,-0.00427955786387102
517,-0.0033258835474647697
518,-0.0033258835474647697
519,-0.004517976442972582
520,-0.005710069338480395
521,-0.005710069338480395
522,-0.004041139284769457
523,-0.002133790651956957
524,-0.00046486059824601966
525,0.0014424880345664803
526,0.002157743771871168
527,0.00025039513905866784
528,-0.0033258835474647697
529,-0.00523323218027727
530,-0.004756395022074145
531,-0.003087464968363207
532,-0.0018953720728553947
533,-0.0018953720728553947
534,-0.003087464968363207
535,-0.004041139284769457
536,-0.0038027207056678947
537,-0.0023722092310585197
538,-0.0016569534937538322
539,-0.002610627810160082
540,-0.004041139284769457
541,-0.004756395022074145
542,-0.004756395022074145
543,-0.004756395022074145
544,-0.005471650759378832
545,-0.00523323218027727
546,-0.003087464968363207
547,-0.0016569534937538322
548,-0.003087464968363207
549,-0.005710069338480395
550,-0.007617417971292895
551,-0.007855836550394457
552,-0.007378999392191332
553,-0.006663743654886645
554,-0.006425325075785082
555,-0.006663743654886645
556,-0.007378999392191332
557,-0.007855836550394457
558,-0.007855836550394457
559,-0.007855836550394457
560,-0.006902162233988207
561,-0.00523323218027727
562,-0.004041139284769457
563,-0.0038027207056678947
564,-0.0033258835474647697
565,-0.003087464968363207
566,-0.003564302126566332
567,-0.004994813601175707
568,-0.00523323218027727
569,-0.003564302126566332
570,-0.0009416977564491447
571,-0.0007032791773475822
572,-0.003087464968363207
573,-0.00618690649668352
574,-0.007855836550394457
575,-0.006663743654886645
576,-0.003564302126566332
577,-0.00046486059824601966
578,-0.00022644201914445716
579,-0.0033258835474647697
580,-0.00809425512949602
581,-0.011193696657816332
582,-0.011432115236917895
583,-0.009524766604105395
584,-0.005948487917581957
585,-0.0023722092310585197
586,1.1976559957105337e-05
587,0.0012040694554649178
588,0.0014424880345664803
589,0.00025039513905866784
590,-0.0014185349146522697
591,-0.0023722092310585197
592,-0.0028490463892616447
593,-0.0028490463892616447
594,-0.0028490463892616447
595,-0.002610627810160082
596,-0.0033258835474647697
597,-0.004517976442972582
598,-0.004517976442972582
599,-0.0038027207056678947
600,-0.0038027207056678947
601,-0.004517976442972582
602,-0.004517976442972582
603,-0.00427955786387102
604,-0.004517976442972582
605,-0.00427955786387102
606,-0.0028490463892616447
607,-0.0009416977564491447
608,0.0004888137181602303
609,0.00025039513905866784
610,-0.00046486059824601966
611,-0.0018953720728553947
612,-0.003564302126566332
613,-0.004756395022074145
614,-0.004041139284769457
615,-0.002610627810160082
616,-0.003087464968363207
617,-0.004994813601175707
618,-0.006425325075785082
619,-0.005471650759378832
620,-0.0038027207056678947
621,-0.0033258835474647697
622,-0.00427955786387102
623,-0.00523323218027727
624,-0.004756395022074145
625,-0.0028490463892616447
626,-0.00046486059824601966
627,0.0004888137181602303
628,-0.0011801163355507072
629,-0.00427955786387102
630,-0.00714058081308977
631,-0.008332673708597582
632,-0.007617417971292895
633,-0.004994813601175707
634,-0.0023722092310585197
635,-0.0018953720728553947
636,-0.0028490463892616447
637,-0.003564302126566332
638,-0.003087464968363207
639,-0.0028490463892616447
640,-0.0038027207056678947
641,-0.004994813601175707
642,-0.004041139284769457
643,-0.002133790651956957
644,-0.0009416977564491447
645,-0.0016569534937538322
646,-0.0038027207056678947
647,-0.00523323218027727
648,-0.004041139284769457
649,-0.0009416977564491447
650,0.0009656508763633553
651,-0.00022644201914445716
652,-0.0028490463892616447
653,-0.00427955786387102
654,-0.003564302126566332
655,-0.0016569534937538322
656,0.00025039513905866784
657,0.0009656508763633553
658,0.0004888137181602303
659,-0.00046486059824601966
660,-0.0009416977564491447
661,-0.0014185349146522697
662,-0.0023722092310585197
663,-0.0028490463892616447
664,-0.003087464968363207
665,-0.0033258835474647697
666,-0.0033258835474647697
667,-0.0028490463892616447
668,-0.003564302126566332
669,-0.005471650759378832
670,-0.006425325075785082
671,-0.005471650759378832
672,-0.003087464968363207
673,-0.00046486059824601966
674,0.00025039513905866784
675,-0.0018953720728553947
676,-0.005471650759378832
677,-0.00809425512949602
678,-0.007378999392191332
679,-0.0038027207056678947
680,-0.00022644201914445716
681,0.0016809066136680428
682,0.0007272322972617928
683,-0.0009416977564491447
684,-0.0014185349146522697
685,-0.00046486059824601966
686,0.0012040694554649178
687,0.002634580930074293
688,0.003111418088277418
689,0.0016809066136680428
690,1.1976559957105337e-05
691,-0.0007032791773475822
692,-0.0007032791773475822
693,-0.0007032791773475822
694,-0.002133790651956957
695,-0.004756395022074145
696,-0.00714058081308977
697,-0.007378999392191332
698,-0.004994813601175707
699,-0.002610627810160082
700,-0.0023722092310585197
701,-0.0028490463892616447
702,-0.0018953720728553947
703,0.0007272322972617928
704,0.0019193251927696053
705,1.1976559957105337e-05
706,-0.003087464968363207
707,-0.004994813601175707
708,-0.004041139284769457
709,1.1976559957105337e-05
710,0.00430351098378523
711,0.004541929562886793
712,0.0007272322972617928
713,-0.0028490463892616447
714,-0.0033258835474647697
715,-0.0016569534937538322
716,-0.0007032791773475822
717,-0.0009416977564491447
718,-0.0011801163355507072
