,MYG012_UD 100.0(Hz) unit:(gal)
0,0.011920333542462913
1,-0.025486902480409412
2,-0.0032961692465036663
3,0.029672920129591773
4,0.03601312962499037
5,0.01889456398740208
6,0.016992501138787475
7,0.03854921342315265
8,0.027136836331429492
9,0.0055801240470643165
10,0.017626522088328045
11,0.027770857280970063
12,0.02396673158372664
13,0.029038899180051203
14,0.03284302487728752
15,0.009384249744300632
16,-0.007100294943739982
17,0.01889456398740208
18,0.03157498297820638
19,0.008116207845219492
20,0.0030440402489020357
21,0.02143064778556436
22,0.028404878230510633
23,0.016992501138787475
24,0.013822396391084624
25,0.02460075253326721
26,0.03157498297820638
27,0.02206466873510493
28,0.0005079564507397549
29,0.0017759983498208953
30,0.03601312962499037
31,0.042353339120388966
32,0.008116207845219492
33,0.0017759983498208953
34,0.028404878230510633
35,0.030940962028665808
36,0.017626522088328045
37,0.013188375441544054
38,0.006214144996604887
39,0.0068481659461383515
40,0.025868794432348352
41,0.029038899180051203
42,0.016358480189246905
43,0.03728117152407151
44,0.04552344386809182
45,0.013188375441544054
46,0.012554354492003483
47,0.02396673158372664
48,-0.0051982320951182714
49,-0.010270399691442833
50,0.03854921342315265
51,0.03981725532223379
52,0.0017759983498208953
53,0.03220900392774695
54,0.04425540196901068
55,-0.012806483489605114
56,-0.010904420640983403
57,0.026502815381888922
58,0.01826054303786151
59,0.02333271063418607
60,0.04425540196901068
61,0.025234773482807782
62,0.004946103097523746
63,0.016358480189246905
64,0.02206466873510493
65,0.029038899180051203
66,0.03220900392774695
67,0.011920333542462913
68,0.016358480189246905
69,0.03220900392774695
70,0.014456417340625194
71,0.006214144996604887
72,0.014456417340625194
73,0.004312082147983176
74,0.003678061198442606
75,0.01952858493694265
76,0.02206466873510493
77,0.03157498297820638
78,0.042353339120388966
79,0.02206466873510493
80,0.008750228794760062
81,0.01889456398740208
82,0.011286312592922343
83,0.0005079564507397549
84,0.01889456398740208
85,0.03347704582682809
86,0.0226986896846455
87,0.02460075253326721
88,0.030940962028665808
89,0.013188375441544054
90,0.013822396391084624
91,0.03474508772590923
92,0.02143064778556436
93,0.003678061198442606
94,0.029672920129591773
95,0.041719318170848396
96,0.004312082147983176
97,-0.008368336842821122
98,0.01952858493694265
99,0.03411106677636866
100,0.027770857280970063
101,0.0030440402489020357
102,0.0030440402489020357
103,0.04932756956533524
104,0.04362138101947011
105,-0.014708546338226824
106,-0.012172462540064544
107,0.030306941079125238
108,0.03981725532223379
109,0.017626522088328045
110,-0.006466273994199412
111,-0.002028127347422526
112,0.03284302487728752
113,0.06137396760659897
114,0.04362138101947011
115,0.0017759983498208953
116,-0.002662148296963096
117,0.02206466873510493
118,0.03411106677636866
119,0.013822396391084624
120,-0.010270399691442833
121,0.02396673158372664
122,0.053131695262571554
123,0.02206466873510493
124,0.006214144996604887
125,-0.00012606449880081527
126,-0.0051982320951182714
127,0.04425540196901068
128,0.06010592570751783
129,-0.00012606449880081527
130,-0.002662148296963096
131,0.04869354861579467
132,0.03981725532223379
