,NIG019_EW 100.0(Hz) unit:(gal)
673,-5.637788764609143
674,-5.637073508871838
675,-5.636835090292736
676,-5.64494132198219
677,-5.643749229086682
678,-5.633735648764416
679,-5.622768394125744
680,-5.630397788656994
681,-5.656623832358166
682,-5.65876959957008
683,-5.634927741659924
684,-5.630159370077893
685,-5.635642997397229
686,-5.643033973349377
687,-5.640649787558361
688,-5.640888206137463
689,-5.641603461874768
690,-5.634450904501721
691,-5.623006812704846
692,-5.624914161337658
693,-5.620384208334729
694,-5.626344672812268
695,-5.6351661602390255
696,-5.629444114340588
697,-5.625390998495861
698,-5.633735648764416
699,-5.630397788656994
700,-5.624198905600354
701,-5.63731192745094
702,-5.633258811606213
703,-5.642318717612072
704,-5.651378623617932
705,-5.659961692465588
706,-5.640888206137463
707,-5.638265601767346
708,-5.650901786459729
709,-5.64041136897926
710,-5.638265601767346
711,-5.631589881552502
712,-5.628728858603283
713,-5.641603461874768
714,-5.638742438925549
715,-5.640172950400158
716,-5.641603461874768
717,-5.633497230185315
718,-5.622291556967541
719,-5.611085883749768
720,-5.6199073711765255
721,-5.633497230185315
722,-5.634450904501721
723,-5.627298347128674
724,-5.638265601767346
725,-5.63588141597633
726,-5.631113044394299
727,-5.639934531821057
728,-5.651855460776135
729,-5.649948112143322
730,-5.64804076351051
731,-5.640888206137463
732,-5.634450904501721
733,-5.632543555868908
734,-5.630159370077893
735,-5.647325507773205
736,-5.6389808575046505
737,-5.640172950400158
738,-5.6389808575046505
739,-5.641841880453869
740,-5.636358253134533
741,-5.62825202144508
742,-5.627059928549572
743,-5.632305137289807
744,-5.647563926352307
745,-5.650663367880627
746,-5.636119834555432
747,-5.628013602865979
748,-5.631113044394299
749,-5.631589881552502
750,-5.640172950400158
751,-5.641126624716565
752,-5.63278197444801
753,-5.624914161337658
754,-5.629920951498791
755,-5.630636207236096
756,-5.630874625815197
757,-5.636835090292736
758,-5.6351661602390255
759,-5.630159370077893
760,-5.636119834555432
761,-5.638265601767346
762,-5.640172950400158
763,-5.635404578818127
764,-5.641841880453869
765,-5.647563926352307
766,-5.6504249493015255
767,-5.645894996298596
768,-5.639457694662854
769,-5.637550346030041
770,-5.635404578818127
771,-5.643749229086682
772,-5.631113044394299
773,-5.637073508871838
774,-5.642557136191174
775,-5.639696113241955
776,-5.634927741659924
777,-5.643033973349377
778,-5.639219276083752
779,-5.643749229086682
780,-5.645894996298596
781,-5.647325507773205
782,-5.642557136191174
783,-5.637073508871838
784,-5.634450904501721
785,-5.645894996298596
786,-5.649232856406018
787,-5.643272391928479
788,-5.638027183188244
789,-5.640172950400158
790,-5.633735648764416
791,-5.635404578818127
792,-5.642557136191174
793,-5.6389808575046505
794,-5.631828300131604
795,-5.645418159140393
796,-5.642318717612072
797,-5.637788764609143
798,-5.646133414877697
799,-5.64041136897926
800,-5.636119834555432
801,-5.636835090292736
802,-5.64351081050758
803,-5.649948112143322
804,-5.646848670615002
805,-5.630397788656994
806,-5.633974067343518
807,-5.645656577719494
808,-5.660438529623791
809,-5.648756019247815
810,-5.623006812704846
811,-5.62062262691383
812,-5.629920951498791
813,-5.636835090292736
814,-5.645418159140393
815,-5.639219276083752
816,-5.62825202144508
817,-5.625390998495861
818,-5.626583091391369
819,-5.63731192745094
820,-5.639219276083752
821,-5.661392203940197
822,-5.654954902304455
823,-5.650186530722424
824,-5.647325507773205
825,-5.639457694662854
826,-5.633735648764416
827,-5.641365043295666
828,-5.637788764609143
829,-5.642080299032971
830,-5.636596671713635
831,-5.637550346030041
832,-5.629444114340588
833,-5.619668952597424
834,-5.629444114340588
835,-5.634689323080822
836,-5.632543555868908
837,-5.637788764609143
838,-5.640172950400158
839,-5.633497230185315
840,-5.6313514629734005
841,-5.6351661602390255
842,-5.634450904501721
843,-5.628490440024182
844,-5.637788764609143
845,-5.634927741659924
846,-5.628728858603283
847,-5.633258811606213
848,-5.634927741659924
849,-5.63588141597633
850,-5.633735648764416
851,-5.637788764609143
852,-5.638742438925549
853,-5.636596671713635
854,-5.642080299032971
855,-5.637073508871838
856,-5.642080299032971
857,-5.637550346030041
858,-5.643033973349377
859,-5.645656577719494
860,-5.645656577719494
861,-5.633735648764416
862,-5.634450904501721
863,-5.640172950400158
864,-5.628728858603283
865,-5.625629417074963
866,-5.637073508871838
867,-5.646848670615002
868,-5.639934531821057
869,-5.630636207236096
870,-5.623960487021252
871,-5.633497230185315
872,-5.6504249493015255
873,-5.644702903403088
874,-5.638027183188244
875,-5.636119834555432
876,-5.641365043295666
877,-5.638742438925549
878,-5.628013602865979
879,-5.63588141597633
880,-5.636596671713635
881,-5.633735648764416
882,-5.637073508871838
883,-5.635404578818127
884,-5.628967277182385
885,-5.640172950400158
886,-5.641603461874768
887,-5.645179740561291
888,-5.633497230185315
889,-5.638027183188244
890,-5.637550346030041
891,-5.642557136191174
892,-5.649709693564221
893,-5.63731192745094
894,-5.631589881552502
895,-5.633020393027111
896,-5.634450904501721
897,-5.639934531821057
898,-5.632543555868908
899,-5.628967277182385
900,-5.628490440024182
901,-5.624437324179455
902,-5.622291556967541
903,-5.628728858603283
904,-5.631828300131604
905,-5.641603461874768
906,-5.642080299032971
907,-5.62968253291969
908,-5.629920951498791
909,-5.638504020346447
910,-5.642318717612072
911,-5.636358253134533
912,-5.642557136191174
913,-5.640172950400158
914,-5.649948112143322
915,-5.650901786459729
916,-5.641365043295666
917,-5.633735648764416
918,-5.630636207236096
919,-5.625867835654065
920,-5.623960487021252
921,-5.627775184286877
922,-5.63278197444801
923,-5.625390998495861
924,-5.639219276083752
925,-5.636596671713635
926,-5.625867835654065
927,-5.634450904501721
928,-5.627775184286877
929,-5.627775184286877
930,-5.633735648764416
931,-5.64041136897926
932,-5.652332297934338
933,-5.655193320883557
934,-5.647563926352307
935,-5.633974067343518
936,-5.640172950400158
937,-5.63731192745094
938,-5.649948112143322
939,-5.653285972250744
940,-5.657577506674572
941,-5.650663367880627
942,-5.637550346030041
943,-5.62825202144508
944,-5.616331092490002
945,-5.623006812704846
946,-5.623483649863049
947,-5.624914161337658
948,-5.627775184286877
949,-5.632066718710705
950,-5.635404578818127
951,-5.6275367657077755
952,-5.614662162436291
953,-5.618953696860119
954,-5.643272391928479
955,-5.646371833456799
956,-5.64041136897926
957,-5.624198905600354
958,-5.634927741659924
959,-5.643272391928479
960,-5.637788764609143
961,-5.631828300131604
962,-5.636119834555432
963,-5.6313514629734005
964,-5.627298347128674
965,-5.628967277182385
966,-5.63588141597633
967,-5.64804076351051
968,-5.643987647665783
969,-5.639457694662854
970,-5.65567015804176
971,-5.63731192745094
972,-5.635642997397229
973,-5.638265601767346
974,-5.644226066244885
975,-5.645179740561291
976,-5.643987647665783
977,-5.624198905600354
978,-5.61752318538551
979,-5.626344672812268
980,-5.637788764609143
981,-5.627775184286877
982,-5.621337882651135
983,-5.630159370077893
984,-5.634212485922619
985,-5.625629417074963
986,-5.621576301230236
987,-5.635642997397229
988,-5.643033973349377
989,-5.644702903403088
990,-5.638504020346447
991,-5.63588141597633
992,-5.633735648764416
993,-5.649948112143322
994,-5.650901786459729
995,-5.650901786459729
996,-5.643272391928479
997,-5.641841880453869
998,-5.637550346030041
999,-5.633497230185315
1000,-5.641841880453869
1001,-5.639934531821057
1002,-5.633258811606213
1003,-5.633020393027111
1004,-5.626583091391369
1005,-5.627059928549572
1006,-5.618000022543713
1007,-5.62205313838844
1008,-5.623006812704846
1009,-5.62515257991676
1010,-5.637788764609143
1011,-5.6466102520359005
1012,-5.640888206137463
1013,-5.6275367657077755
1014,-5.631113044394299
1015,-5.642557136191174
1016,-5.646371833456799
1017,-5.6351661602390255
1018,-5.636119834555432
1019,-5.641603461874768
1020,-5.6389808575046505
1021,-5.641365043295666
1022,-5.633497230185315
1023,-5.631589881552502
1024,-5.630874625815197
1025,-5.647325507773205
1026,-5.647325507773205
1027,-5.648279182089611
1028,-5.647563926352307
1029,-5.6351661602390255
1030,-5.62825202144508
1031,-5.633258811606213
1032,-5.638265601767346
1033,-5.636835090292736
1034,-5.625867835654065
1035,-5.62062262691383
1036,-5.622291556967541
1037,-5.634689323080822
1038,-5.639219276083752
1039,-5.64494132198219
1040,-5.638265601767346
1041,-5.638742438925549
1042,-5.644464484823986
1043,-5.627775184286877
1044,-5.6313514629734005
1045,-5.637550346030041
1046,-5.647802344931408
1047,-5.657100669516369
1048,-5.641365043295666
1049,-5.630397788656994
1050,-5.641365043295666
1051,-5.646133414877697
1052,-5.638027183188244
1053,-5.62968253291969
1054,-5.64041136897926
1055,-5.647325507773205
1056,-5.643749229086682
1057,-5.645418159140393
1058,-5.63731192745094
1059,-5.631828300131604
1060,-5.623483649863049
1061,-5.628013602865979
1062,-5.634927741659924
1063,-5.637073508871838
1064,-5.636358253134533
1065,-5.629920951498791
1066,-5.630874625815197
1067,-5.634212485922619
1068,-5.63278197444801
1069,-5.621576301230236
1070,-5.62825202144508
1071,-5.643033973349377
1072,-5.647087089194104
1073,-5.648517600668713
1074,-5.653524390829846
1075,-5.646371833456799
1076,-5.64804076351051
1077,-5.637550346030041
1078,-5.634450904501721
1079,-5.640649787558361
1080,-5.659723273886486
1081,-5.654478065146252
1082,-5.638265601767346
1083,-5.62205313838844
1084,-5.618000022543713
1085,-5.615138999594494
1086,-5.622291556967541
1087,-5.625390998495861
1088,-5.630636207236096
1089,-5.636358253134533
1090,-5.643272391928479
1091,-5.635642997397229
1092,-5.622291556967541
1093,-5.622529975546643
1094,-5.641603461874768
1095,-5.644464484823986
1096,-5.643749229086682
1097,-5.634689323080822
1098,-5.628967277182385
1099,-5.626821509970471
1100,-5.634212485922619
1101,-5.64494132198219
1102,-5.64351081050758
1103,-5.63731192745094
1104,-5.6237220684421505
1105,-5.623245231283947
1106,-5.637550346030041
1107,-5.638742438925549
1108,-5.638742438925549
1109,-5.638027183188244
1110,-5.640888206137463
1111,-5.634212485922619
1112,-5.633974067343518
1113,-5.629205695761486
1114,-5.630874625815197
1115,-5.645418159140393
1116,-5.642557136191174
1117,-5.640888206137463
1118,-5.635404578818127
1119,-5.634450904501721
1120,-5.631828300131604
1121,-5.628013602865979
1122,-5.632066718710705
1123,-5.635642997397229
1124,-5.630159370077893
1125,-5.63731192745094
1126,-5.648994437826916
1127,-5.64041136897926
1128,-5.641841880453869
1129,-5.6466102520359005
1130,-5.64494132198219
1131,-5.630636207236096
1132,-5.633974067343518
1133,-5.627059928549572
1134,-5.617761603964611
1135,-5.627059928549572
1136,-5.635404578818127
1137,-5.638742438925549
1138,-5.63588141597633
1139,-5.6389808575046505
1140,-5.629205695761486
1141,-5.620145789755627
1142,-5.625390998495861
1143,-5.631589881552502
1144,-5.641365043295666
1145,-5.644702903403088
1146,-5.640649787558361
1147,-5.633735648764416
1148,-5.636119834555432
1149,-5.643272391928479
1150,-5.644226066244885
1151,-5.648517600668713
1152,-5.64494132198219
1153,-5.63731192745094
1154,-5.630874625815197
1155,-5.631589881552502
1156,-5.637788764609143
1157,-5.638027183188244
1158,-5.645418159140393
1159,-5.644226066244885
1160,-5.6313514629734005
1161,-5.633974067343518
1162,-5.628967277182385
1163,-5.636358253134533
1164,-5.634212485922619
1165,-5.6275367657077755
1166,-5.63278197444801
1167,-5.638742438925549
1168,-5.635642997397229
1169,-5.636119834555432
1170,-5.630874625815197
1171,-5.625390998495861
1172,-5.618476859701916
1173,-5.621814719809338
1174,-5.623245231283947
1175,-5.637550346030041
1176,-5.641126624716565
1177,-5.632066718710705
1178,-5.6389808575046505
1179,-5.62515257991676
1180,-5.64041136897926
1181,-5.640888206137463
1182,-5.655193320883557
1183,-5.654716483725354
1184,-5.643272391928479
1185,-5.627775184286877
1186,-5.628967277182385
1187,-5.639219276083752
1188,-5.64804076351051
1189,-5.6504249493015255
1190,-5.650663367880627
1191,-5.636835090292736
1192,-5.633735648764416
1193,-5.630874625815197
1194,-5.639457694662854
1195,-5.648756019247815
1196,-5.645418159140393
1197,-5.627298347128674
1198,-5.618238441122815
1199,-5.617761603964611
1200,-5.627059928549572
1201,-5.64041136897926
1202,-5.638265601767346
1203,-5.621576301230236
1204,-5.619430534018322
1205,-5.626106254233166
1206,-5.629205695761486
1207,-5.634450904501721
1208,-5.6542396465671505
1209,-5.648994437826916
1210,-5.638742438925549
1211,-5.631589881552502
1212,-5.636358253134533
1213,-5.64351081050758
1214,-5.659723273886486
1215,-5.653524390829846
1216,-5.639219276083752
1217,-5.630159370077893
1218,-5.637073508871838
1219,-5.65257071651344
1220,-5.649709693564221
1221,-5.650186530722424
1222,-5.63588141597633
1223,-5.625867835654065
1224,-5.632305137289807
1225,-5.638027183188244
1226,-5.630636207236096
1227,-5.636119834555432
1228,-5.6351661602390255
1229,-5.64351081050758
1230,-5.6313514629734005
1231,-5.6237220684421505
1232,-5.624914161337658
