,MYG012_EW 100.0(Hz) unit:(gal)
0,-0.30424972532498273
1,-0.3086878719717632
2,-0.3055177672240639
3,-0.30424972532498273
4,-0.2941053901323407
5,-0.29854353677912115
6,-0.311857976719466
7,-0.3055177672240639
8,-0.29727549488004
9,-0.3010796205772799
10,-0.29727549488004
11,-0.28396105493969515
12,-0.27762084544429655
13,-0.2763528035452154
14,-0.28269301304061756
15,-0.3029816834259016
16,-0.2979095158295806
17,-0.28396105493969515
18,-0.30361570437544216
19,-0.31249199766900304
20,-0.30741983007268203
21,-0.3131260186185436
22,-0.302347662476361
23,-0.29347136918280015
24,-0.3055177672240639
25,-0.2998115786782023
26,-0.276986824494756
27,-0.2852290968387763
28,-0.30615178817360444
29,-0.2903012644350973
30,-0.276986824494756
31,-0.3010796205772799
32,-0.3105899348203849
33,-0.2979095158295806
34,-0.3029816834259016
35,-0.30615178817360444
36,-0.29156930633417844
37,-0.2928373482332596
38,-0.30932189292130374
39,-0.3131260186185436
40,-0.3010796205772799
41,-0.2903012644350973
42,-0.2852290968387763
43,-0.29093528538463787
44,-0.3105899348203849
45,-0.30171364152682045
46,-0.2655744474030328
47,-0.27888888734337414
48,-0.3150280814671653
49,-0.29854353677912115
50,-0.282058992091077
51,-0.3105899348203849
52,-0.3086878719717632
53,-0.2712806359488944
54,-0.2960074529809589
55,-0.32961056330659133
56,-0.29854353677912115
57,-0.2998115786782023
58,-0.32390437476072975
59,-0.28396105493969515
60,-0.26620846835256984
61,-0.3080538510222226
62,-0.3131260186185436
63,-0.28396105493969515
64,-0.2795229082929147
65,-0.2890332225360197
66,-0.30361570437544216
67,-0.3080538510222226
68,-0.2845950758892357
69,-0.2928373482332596
70,-0.32010024906348633
71,-0.29727549488004
72,-0.2852290968387763
73,-0.31122395576992545
74,-0.3137600395680842
75,-0.30424972532498273
76,-0.2890332225360197
77,-0.27064661499935383
78,-0.28776518063693857
79,-0.3086878719717632
80,-0.2896672434855567
81,-0.2795229082929147
82,-0.30741983007268203
83,-0.311857976719466
84,-0.2890332225360197
85,-0.2928373482332596
86,-0.2979095158295806
87,-0.292203327283719
88,-0.31249199766900304
89,-0.32517241665980734
90,-0.29347136918280015
91,-0.2795229082929147
92,-0.31946622811394576
93,-0.3264404585588885
94,-0.27508476164613427
95,-0.25796619600854953
96,-0.2852290968387763
97,-0.3086878719717632
98,-0.3131260186185436
99,-0.2890332225360197
100,-0.27825486639383357
101,-0.3055177672240639
102,-0.302347662476361
103,-0.2763528035452154
104,-0.30741983007268203
105,-0.33404870995337177
106,-0.28332703399015813
107,-0.26240434265532997
108,-0.3055177672240639
109,-0.3080538510222226
110,-0.28586311778831686
111,-0.2947394110818813
112,-0.28776518063693857
113,-0.27381671974705313
114,-0.2998115786782023
115,-0.31629612336624646
116,-0.3080538510222226
117,-0.32136829096256747
118,-0.32200231191210804
119,-0.3010796205772799
120,-0.2947394110818813
121,-0.292203327283719
122,-0.2998115786782023
123,-0.2947394110818813
124,-0.2655744474030328
125,-0.2896672434855567
126,-0.3207342700130269
127,-0.2960074529809589
128,-0.2903012644350973
129,-0.2864971387378574
130,-0.2459197979672858
131,-0.25543011221038725
132,-0.32200231191210804
133,-0.3562394431872775
134,-0.32897654235705076
135,-0.28269301304061756
136,-0.27825486639383357
137,-0.3080538510222226
138,-0.31122395576992545
139,-0.2903012644350973
140,-0.2896672434855567
141,-0.30361570437544216
142,-0.3010796205772799
143,-0.29854353677912115
144,-0.3232703538111892
145,-0.3175641652653276
146,-0.25796619600854953
147,-0.23894556752234308
148,-0.28332703399015813
149,-0.3207342700130269
150,-0.32390437476072975
151,-0.3055177672240639
152,-0.2979095158295806
153,-0.3055177672240639
154,-0.2852290968387763
155,-0.26620846835256984
156,-0.3086878719717632
157,-0.34292500324693265
158,-0.29347136918280015
159,-0.26303836360487054
160,-0.30615178817360444
161,-0.3137600395680842
162,-0.28269301304061756
163,-0.2941053901323407
164,-0.30424972532498273
165,-0.27381671974705313
166,-0.2719146568984314
167,-0.3055177672240639
168,-0.3086878719717632
169,-0.2953734320314183
170,-0.3029816834259016
171,-0.31122395576992545
172,-0.31122395576992545
173,-0.29727549488004
174,-0.2801569292424553
175,-0.2947394110818813
176,-0.3207342700130269
177,-0.3175641652653276
178,-0.3055177672240639
179,-0.30171364152682045
180,-0.2763528035452154
181,-0.24718783986636694
182,-0.2864971387378574
183,-0.3334146890038312
184,-0.3086878719717632
185,-0.2896672434855567
186,-0.28586311778831686
187,-0.26811053120119155
188,-0.3010796205772799
189,-0.33721881470107107
190,-0.30361570437544216
191,-0.2636723845544111
192,-0.27064661499935383
193,-0.30678580912314146
194,-0.3207342700130269
195,-0.3181981862148646
196,-0.33024458425612835
197,-0.2896672434855567
198,-0.23704350467372493
199,-0.28586311778831686
200,-0.3175641652653276
201,-0.2744507406965937
202,-0.29664147393049944
203,-0.3435590241964732
204,-0.30932189292130374
205,-0.2712806359488944
206,-0.28079095019199585
207,-0.30615178817360444
208,-0.311857976719466
209,-0.2947394110818813
210,-0.30932189292130374
211,-0.3264404585588885
212,-0.28396105493969515
213,-0.2744507406965937
214,-0.3188322071644052
215,-0.30171364152682045
216,-0.25416207031130966
217,-0.27508476164613427
218,-0.3105899348203849
219,-0.2960074529809589
220,-0.2864971387378574
221,-0.311857976719466
222,-0.3308786052056689
223,-0.3029816834259016
224,-0.26050227980670826
225,-0.28269301304061756
226,-0.32136829096256747
227,-0.31122395576992545
228,-0.3055177672240639
229,-0.30615178817360444
230,-0.28839920158647914
231,-0.276986824494756
232,-0.2719146568984314
233,-0.2947394110818813
234,-0.3232703538111892
235,-0.30741983007268203
236,-0.292203327283719
237,-0.2979095158295806
238,-0.2896672434855567
239,-0.28269301304061756
240,-0.2953734320314183
241,-0.3086878719717632
242,-0.2953734320314183
243,-0.2896672434855567
244,-0.3188322071644052
245,-0.3156621024167059
246,-0.282058992091077
247,-0.2979095158295806
248,-0.32136829096256747
249,-0.2903012644350973
250,-0.2668424893021104
251,-0.2864971387378574
252,-0.3080538510222226
253,-0.30361570437544216
254,-0.2903012644350973
255,-0.2991775577286617
256,-0.3086878719717632
257,-0.287131159687398
258,-0.2643064055039517
259,-0.2903012644350973
260,-0.3422909822973921
261,-0.3315126261552095
262,-0.28839920158647914
263,-0.2960074529809589
264,-0.29093528538463787
265,-0.2636723845544111
266,-0.29727549488004
267,-0.33214664710475006
268,-0.30171364152682045
269,-0.2903012644350973
270,-0.30932189292130374
271,-0.29093528538463787
272,-0.28839920158647914
273,-0.31439406051762475
274,-0.2845950758892357
275,-0.27001259404981326
276,-0.3137600395680842
277,-0.3048837462745233
278,-0.2801569292424553
279,-0.3010796205772799
280,-0.30678580912314146
281,-0.28332703399015813
282,-0.2636723845544111
283,-0.2864971387378574
284,-0.33278066805429063
285,-0.32200231191210804
286,-0.2941053901323407
287,-0.2953734320314183
288,-0.2814249711415364
289,-0.282058992091077
290,-0.31122395576992545
291,-0.3105899348203849
292,-0.2991775577286617
293,-0.30044559962774287
294,-0.28839920158647914
295,-0.29093528538463787
296,-0.3156621024167059
297,-0.3188322071644052
298,-0.2998115786782023
299,-0.2864971387378574
300,-0.2801569292424553
301,-0.28586311778831686
302,-0.3055177672240639
303,-0.30932189292130374
304,-0.292203327283719
305,-0.29347136918280015
306,-0.3105899348203849
307,-0.29093528538463787
308,-0.26303836360487054
309,-0.29664147393049944
310,-0.3226363328616486
311,-0.2953734320314183
312,-0.2960074529809589
313,-0.3080538510222226
314,-0.287131159687398
315,-0.292203327283719
316,-0.30361570437544216
317,-0.287131159687398
318,-0.29347136918280015
319,-0.30932189292130374
320,-0.2991775577286617
321,-0.2998115786782023
322,-0.30932189292130374
323,-0.2896672434855567
324,-0.276986824494756
325,-0.30171364152682045
326,-0.3131260186185436
327,-0.2998115786782023
328,-0.3048837462745233
329,-0.30932189292130374
330,-0.287131159687398
331,-0.2801569292424553
332,-0.29664147393049944
333,-0.2941053901323407
334,-0.2845950758892357
335,-0.29347136918280015
336,-0.29854353677912115
337,-0.2941053901323407
338,-0.29664147393049944
339,-0.30171364152682045
340,-0.30171364152682045
341,-0.30932189292130374
342,-0.30741983007268203
343,-0.276986824494756
344,-0.2795229082929147
345,-0.3207342700130269
346,-0.3150280814671653
347,-0.2941053901323407
348,-0.31249199766900304
349,-0.3150280814671653
350,-0.2960074529809589
351,-0.2890332225360197
352,-0.28079095019199585
353,-0.2795229082929147
354,-0.29664147393049944
355,-0.31122395576992545
356,-0.3131260186185436
357,-0.3048837462745233
358,-0.282058992091077
359,-0.26811053120119155
360,-0.28332703399015813
361,-0.30424972532498273
362,-0.3080538510222226
363,-0.31122395576992545
364,-0.3137600395680842
365,-0.29093528538463787
366,-0.28586311778831686
367,-0.31122395576992545
368,-0.302347662476361
369,-0.2801569292424553
370,-0.2896672434855567
371,-0.29093528538463787
372,-0.2814249711415364
373,-0.29727549488004
374,-0.3150280814671653
375,-0.3048837462745233
376,-0.30615178817360444
377,-0.31629612336624646
378,-0.2941053901323407
379,-0.28586311778831686
380,-0.3055177672240639
381,-0.29347136918280015
382,-0.28839920158647914
383,-0.3131260186185436
384,-0.2928373482332596
385,-0.26494042645349225
386,-0.29727549488004
387,-0.32010024906348633
388,-0.29347136918280015
389,-0.28776518063693857
390,-0.3086878719717632
391,-0.2991775577286617
392,-0.2896672434855567
393,-0.3099559138708443
394,-0.30678580912314146
395,-0.29093528538463787
396,-0.2991775577286617
397,-0.2903012644350973
398,-0.27571878259567484
399,-0.30171364152682045
400,-0.31122395576992545
401,-0.287131159687398
402,-0.2979095158295806
403,-0.31122395576992545
404,-0.2852290968387763
405,-0.2795229082929147
406,-0.3010796205772799
407,-0.29854353677912115
408,-0.2960074529809589
409,-0.31122395576992545
410,-0.3055177672240639
411,-0.29664147393049944
412,-0.31249199766900304
413,-0.311857976719466
414,-0.29347136918280015
415,-0.2947394110818813
416,-0.292203327283719
417,-0.27825486639383357
418,-0.29093528538463787
419,-0.3048837462745233
420,-0.2890332225360197
421,-0.29156930633417844
422,-0.3086878719717632
423,-0.28396105493969515
424,-0.2687445521507321
425,-0.30044559962774287
426,-0.31249199766900304
427,-0.30044559962774287
428,-0.3181981862148646
429,-0.3277085004579696
430,-0.287131159687398
431,-0.272548677847972
432,-0.3105899348203849
433,-0.3080538510222226
434,-0.28269301304061756
435,-0.30615178817360444
436,-0.31439406051762475
437,-0.28586311778831686
438,-0.29093528538463787
439,-0.2979095158295806
440,-0.2801569292424553
441,-0.2979095158295806
442,-0.3232703538111892
443,-0.2941053901323407
444,-0.2712806359488944
445,-0.2979095158295806
446,-0.30424972532498273
447,-0.29156930633417844
448,-0.3048837462745233
449,-0.3048837462745233
450,-0.287131159687398
451,-0.2998115786782023
452,-0.3105899348203849
453,-0.2903012644350973
454,-0.28776518063693857
455,-0.30361570437544216
456,-0.2953734320314183
457,-0.2852290968387763
458,-0.29727549488004
459,-0.3029816834259016
460,-0.302347662476361
461,-0.3048837462745233
462,-0.2947394110818813
463,-0.292203327283719
464,-0.30171364152682045
465,-0.2998115786782023
466,-0.29854353677912115
467,-0.30741983007268203
468,-0.3010796205772799
469,-0.28269301304061756
470,-0.2896672434855567
471,-0.2998115786782023
472,-0.2845950758892357
473,-0.2953734320314183
474,-0.3150280814671653
475,-0.2903012644350973
476,-0.28079095019199585
477,-0.30424972532498273
478,-0.3029816834259016
479,-0.2890332225360197
480,-0.29727549488004
481,-0.30741983007268203
482,-0.30171364152682045
483,-0.30171364152682045
484,-0.30678580912314146
485,-0.30044559962774287
486,-0.2998115786782023
