,NIGH01_NS2 200.0(Hz) unit:(gal)
0,0.010292442639668886
1,0.010292442639668886
2,0.012199791272481386
3,0.013630302747090761
4,0.012199791272481386
5,0.007908256848653261
6,0.003139885266622011
7,0.0005172808965048237
8,0.0019477923711141987
9,0.006477745374043886
10,0.010292442639668886
11,0.009577186902364199
12,0.005524071057637636
13,0.0017093737920126362
14,-0.00019797484079986383
15,-0.0009132305781045513
16,0.0005172808965048237
17,0.004808815320332949
18,0.009815605481465761
19,0.011007698376973574
20,0.006954582532247011
21,0.0017093737920126362
22,-0.00019797484079986383
23,0.003139885266622011
24,0.009100349744161074
25,0.012915047009786074
26,0.011246116956075136
27,0.004570396741231386
28,-0.0016284863154092388
29,-0.004251090685526426
30,-0.0028205792109170513
31,0.0007556994756063862
32,0.004093559583028261
33,0.005762489636739199
34,0.004808815320332949
35,0.002663048108418886
36,0.0019477923711141987
37,0.003616722424825136
38,0.007669838269551699
39,0.010054024060567324
40,0.008146675427754824
41,0.004093559583028261
42,0.0007556994756063862
43,-0.0018669048945108013
44,-0.0028205792109170513
45,-0.00019797484079986383
46,0.004808815320332949
47,0.008146675427754824
48,0.006954582532247011
49,0.0033783038457235737
50,0.0002788623174032612
51,-0.00019797484079986383
52,0.0014709552129110737
53,0.004093559583028261
54,0.005524071057637636
55,0.005047233899434511
56,0.0033783038457235737
57,0.0009941180547079487
58,-0.0006748119990029888
59,4.044373830169867e-05
60,0.0033783038457235737
61,0.006716163953145449
62,0.008146675427754824
63,0.007669838269551699
64,0.005285652478536074
65,0.002663048108418886
66,0.003139885266622011
67,0.007193001111348574
68,0.011484535535176699
69,0.012438209851582949
70,0.009577186902364199
71,0.0038551410039266987
72,-0.0006748119990029888
73,-0.0006748119990029888
74,0.0019477923711141987
75,0.004331978162129824
76,0.006477745374043886
77,0.007908256848653261
78,0.007669838269551699
79,0.005285652478536074
80,0.0024246295293173237
81,0.0012325366338095112
82,0.0012325366338095112
83,0.0017093737920126362
84,0.0017093737920126362
85,0.0019477923711141987
86,0.003139885266622011
87,0.0038551410039266987
88,0.004570396741231386
89,0.005762489636739199
90,0.007669838269551699
91,0.009100349744161074
92,0.008861931165059511
93,0.006954582532247011
94,0.006000908215840761
95,0.005524071057637636
96,0.005047233899434511
97,0.005285652478536074
98,0.006716163953145449
99,0.008385094006856386
100,0.008385094006856386
101,0.007193001111348574
102,0.006000908215840761
103,0.004808815320332949
104,0.003139885266622011
105,0.0014709552129110737
106,0.0009941180547079487
107,0.0019477923711141987
108,0.002663048108418886
109,0.0029014666875204487
110,0.002663048108418886
111,0.003139885266622011
112,0.005047233899434511
113,0.008623512585957949
114,0.012199791272481386
115,0.014345558484395449
116,0.013868721326192324
117,0.011246116956075136
118,0.007908256848653261
119,0.005285652478536074
120,0.005047233899434511
121,0.006477745374043886
122,0.007193001111348574
123,0.005285652478536074
124,0.0019477923711141987
125,0.0017093737920126362
126,0.005524071057637636
127,0.009815605481465761
128,0.011246116956075136
129,0.010054024060567324
130,0.007908256848653261
131,0.005524071057637636
132,0.003616722424825136
133,0.0012325366338095112
134,-0.00019797484079986383
135,0.0007556994756063862
136,0.0033783038457235737
137,0.005285652478536074
138,0.004808815320332949
139,0.002186210950215761
140,-0.0011516491572061138
141,-0.002105323473612364
142,4.044373830169867e-05
143,0.0033783038457235737
144,0.005285652478536074
145,0.005285652478536074
146,0.005047233899434511
147,0.005524071057637636
148,0.005285652478536074
149,0.004331978162129824
150,0.003616722424825136
151,0.004093559583028261
152,0.004570396741231386
153,0.0038551410039266987
154,0.0019477923711141987
155,0.0005172808965048237
156,0.0007556994756063862
157,0.002663048108418886
158,0.004331978162129824
159,0.005285652478536074
160,0.004570396741231386
161,0.003139885266622011
162,0.002186210950215761
163,0.0017093737920126362
164,0.002186210950215761
165,0.004331978162129824
