,MYG012_NS 100.0(Hz) unit:(gal)
0,2.041638545195802
1,2.0384684404480993
2,2.056221027035228
3,2.0467107127921196
4,2.0308601890536195
5,2.0511488594389036
6,2.0524169013379847
7,2.040370503296721
8,2.0543189641866064
9,2.054952985136147
10,2.0524169013379847
11,2.0555870060856876
12,2.0467107127921196
13,2.04734473374166
14,2.0467107127921196
15,2.0454426708930384
16,2.0454426708930384
17,2.0511488594389036
18,2.063829278429708
19,2.043540608044424
20,2.030226168104079
21,2.0498808175398224
22,2.04734473374166
23,2.0327622519022412
24,2.0410045242462616
25,2.0543189641866064
26,2.0486127756407413
27,2.053684943237066
28,2.06636536222787
29,2.0454426708930384
30,2.034664314750856
31,2.0530509222875253
32,2.049246796590282
33,2.034664314750856
34,2.04734473374166
35,2.0555870060856876
36,2.0454426708930384
37,2.0479787546912007
38,2.043540608044424
39,2.0384684404480993
40,2.051782880388444
41,2.0581230898838427
42,2.057489068934302
43,2.0498808175398224
44,2.0479787546912007
45,2.0454426708930384
46,2.0429065870948833
47,2.0657313412783296
48,2.059391131782924
49,2.030226168104079
50,2.0429065870948833
51,2.0498808175398224
52,2.0321282309527007
53,2.040370503296721
54,2.0467107127921196
55,2.0340302938013153
56,2.0511488594389036
57,2.061927215581086
58,2.0219838957600587
59,2.018813791012356
60,2.0669993831774107
61,2.072071550773728
62,2.0422725661453427
63,2.0479787546912007
64,2.0701694879251065
65,2.0669993831774107
66,2.0600251527324644
67,2.0441746289939644
68,2.0276900843059167
69,2.049246796590282
70,2.0644632993792484
71,2.0486127756407413
72,2.0429065870948833
73,2.0454426708930384
74,2.0340302938013153
75,2.033396272851782
76,2.044808649943505
77,2.0352983357003964
78,2.043540608044424
79,2.07397361362235
80,2.060659173682005
81,2.033396272851782
82,2.0429065870948833
83,2.051782880388444
84,2.0410045242462616
85,2.0384684404480993
86,2.051782880388444
87,2.054952985136147
88,2.0467107127921196
89,2.0479787546912007
90,2.0467107127921196
91,2.0479787546912007
92,2.0568550479847616
93,2.0454426708930384
94,2.041638545195802
95,2.0657313412783296
96,2.0669993831774107
97,2.0365663775994776
98,2.0321282309527007
99,2.0555870060856876
100,2.059391131782924
101,2.049246796590282
102,2.037200398549018
103,2.0264220424068355
104,2.053684943237066
105,2.076509697420512
106,2.0410045242462616
107,2.0131076024664907
108,2.035932356649937
109,2.0701694879251065
110,2.059391131782924
111,2.0264220424068355
112,2.0397364823471804
113,2.065097320328789
114,2.0701694879251065
115,2.0587571108333833
116,2.022617916709592
117,2.021349874810518
118,2.051782880388444
119,2.056221027035228
120,2.0429065870948833
121,2.0378344194985587
122,2.0511488594389036
123,2.0587571108333833
124,2.061927215581086
125,2.0479787546912007
126,2.0137416234160312
127,2.0467107127921196
128,2.085385990714073
129,2.044808649943505
130,2.0378344194985587
131,2.0524169013379847
132,2.0422725661453427
133,2.0644632993792484
134,2.063829278429708
135,2.024519979558214
136,2.01247358151695
137,2.040370503296721
138,2.0803138231177485
139,2.070803508874647
140,2.034664314750856
141,2.0327622519022412
142,2.043540608044424
143,2.057489068934302
144,2.054952985136147
145,2.0283241052554573
146,2.0321282309527007
147,2.0600251527324644
148,2.0714375298241876
