,MYG004_UD 100.0(Hz) unit:(gal)
0,0.11851673300434218
1,0.10964043971078041
2,0.10583631401353877
3,0.11598064920618167
4,0.1280270472474454
5,0.1229548796511235
6,0.10520229306399909
7,0.1026662092658377
8,0.11915075395388275
9,0.1305631310456059
10,0.12232085870158382
11,0.1102744606603201
12,0.10900641876123984
13,0.11851673300434218
14,0.12422292155020376
15,0.11724869110526193
16,0.10330023021537826
17,0.10076414641721776
18,0.11471260730710142
19,0.12675900534836515
20,0.12739302629790483
21,0.11915075395388275
22,0.1128105444584806
23,0.11598064920618167
24,0.11534662825664199
25,0.1102744606603201
26,0.10647033496307934
27,0.10710435591261902
28,0.11344456540802117
29,0.12358890060066408
30,0.12105281680250357
31,0.10837239781169927
32,0.11090848160986067
33,0.1178827120548025
34,0.10964043971078041
35,0.10773837686215959
36,0.11344456540802117
37,0.11598064920618167
38,0.11851673300434218
39,0.11534662825664199
40,0.10773837686215959
41,0.11154250255940035
42,0.1280270472474454
43,0.14007344528870913
44,0.13690334054100806
45,0.12105281680250357
46,0.10330023021537826
47,0.1026662092658377
48,0.11661467015572224
49,0.11978477490342332
50,0.10583631401353877
51,0.09949610451813751
52,0.11217652350894092
53,0.12612498439882458
54,0.1229548796511235
55,0.11344456540802117
56,0.11090848160986067
57,0.11154250255940035
58,0.10647033496307934
59,0.10203218831629801
60,0.1128105444584806
61,0.1305631310456059
62,0.13626931959146749
63,0.13626931959146749
64,0.13436725674284666
65,0.11851673300434218
66,0.09949610451813751
67,0.09442393692181561
68,0.09632599977043643
69,0.10013012546767719
70,0.11471260730710142
71,0.13246519389422673
72,0.1356352986419278
73,0.12422292155020376
74,0.11661467015572224
75,0.11851673300434218
76,0.1178827120548025
77,0.1128105444584806
78,0.10837239781169927
79,0.10456827211445852
80,0.10964043971078041
81,0.120418795852963
82,0.12358890060066408
83,0.1178827120548025
84,0.11217652350894092
85,0.10583631401353877
86,0.10013012546767719
87,0.10456827211445852
88,0.120418795852963
89,0.13436725674284666
90,0.13246519389422673
91,0.11661467015572224
92,0.10773837686215959
93,0.1128105444584806
94,0.11724869110526193
95,0.11471260730710142
96,0.1102744606603201
97,0.11724869110526193
98,0.12992911009606622
99,0.12866106819698508
