,MYG004_NS 100.0(Hz) unit:(gal)
0,0.8028392139585065
1,0.7806484807246008
2,0.7597257893897762
3,0.7686020826833371
4,0.7787464178759826
5,0.7635299150870161
6,0.7692361036328776
7,0.8041072558575877
8,0.8047412768071283
9,0.7787464178759826
10,0.7755763131282798
11,0.7647979569860972
12,0.738803098054948
13,0.748313412298053
14,0.7863546692704624
15,0.8053752977566688
16,0.811715507252071
17,0.8243959262428753
18,0.8129835491511521
19,0.7844526064218442
20,0.7673340407842595
21,0.7590917684402356
22,0.7628958941374755
23,0.7736742502796581
24,0.7933288997154051
25,0.8085454025043681
26,0.7895247740181652
27,0.7679680617337965
28,0.7781123969264421
29,0.7793804388255197
30,0.7654319779356378
31,0.7812825016741414
32,0.7996691092108072
33,0.7914268368667834
34,0.7888907530686247
35,0.7819165226236819
36,0.7495814541971342
37,0.7400711399540292
38,0.7743082712291987
39,0.7895247740181652
40,0.7806484807246008
41,0.8053752977566688
42,0.8339062404859767
43,0.8148856119997703
44,0.7806484807246008
45,0.7660659988851783
46,0.7603598103393168
47,0.7540196008439146
48,0.7584577474906951
49,0.7743082712291987
50,0.7939629206649457
51,0.8091794234539087
52,0.8085454025043681
53,0.7901587949677058
54,0.7692361036328776
55,0.7654319779356378
56,0.7819165226236819
57,0.792060857816324
58,0.7882567321190841
59,0.7888907530686247
60,0.7774783759769015
61,0.7489474332475936
62,0.7540196008439146
63,0.7838185854723037
64,0.7844526064218442
65,0.7819165226236819
66,0.7958649835135674
67,0.7926948787658645
68,0.7901587949677058
69,0.8091794234539087
70,0.8041072558575877
71,0.7724062083805805
72,0.7540196008439146
73,0.7476793913485125
74,0.7521175379952929
75,0.7774783759769015
76,0.8053752977566688
77,0.8072773606052905
78,0.7882567321190841
79,0.7768443550273609
80,0.7698701245824182
81,0.7616278522383979
82,0.7660659988851783
83,0.7857206483209218
84,0.8022051930089695
85,0.80664333965575
86,0.8060093187062094
87,0.8034732349080471
88,0.796499004463108
89,0.7850866273713812
90,0.7654319779356378
91,0.7445092866008096
92,0.7407051609035697
93,0.7698701245824182
94,0.8028392139585065
95,0.7952309625640268
96,0.7762103340778204
97,0.7743082712291987
98,0.7755763131282798
99,0.7863546692704624
100,0.7984010673117261
101,0.7996691092108072
102,0.8053752977566688
103,0.796499004463108
104,0.7590917684402356
105,0.7349989723577082
106,0.7362670142567893
107,0.7394371190044886
108,0.7609938312888573
109,0.7907928159172428
110,0.8047412768071283
111,0.8193237586465543
112,0.832004177637355
113,0.811715507252071
114,0.7787464178759826
115,0.7717721874310399
116,0.7736742502796581
117,0.7698701245824182
118,0.7705041455319588
119,0.7686020826833371
120,0.7749422921787392
121,0.7952309625640268
122,0.8091794234539087
123,0.8098134444034493
124,0.80664333965575
125,0.7876227111695435
126,0.7552876427429958
127,0.7419732028026509
128,0.753385579894374
129,0.7698701245824182
130,0.7819165226236819
131,0.786988690220003
132,0.7863546692704624
133,0.796499004463108
